Date (WET),DAY AHEAD NTC (to Great Britain),DAY AHEAD NTC (from Great Britain),BE to GB (from Belgium),FR to GB (from France),ISEM to GB (from ISEM),NL to GB (from Netherlands),NO to GB (from Norway),GB to BE (to Belgium),GB to FR (to France),GB to ISEM (to ISEM),GB to NL (to Netherlands),GB to NO (to Norway),NET IMPORT
,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW
[18/10/2018 07:00],,,,0,0,464,,,-399,-297,0,,1500
[18/10/2018 07:30],,,,0,0,464,,,-399,-297,0,,1500
[18/10/2018 08:00],,,,530,0,1077,,,0,-490,0,,2151
[18/10/2018 08:30],,,,530,0,1077,,,0,-490,0,,2151
[18/10/2018 09:00],,,,252,0,1086,,,0,-530,0,,2161
[18/10/2018 09:30],,,,252,0,1086,,,0,-530,0,,2161
[18/10/2018 10:00],,,,403,0,1086,,,0,-530,0,,2000
[18/10/2018 10:30],,,,403,0,1086,,,0,-530,0,,2000
[18/10/2018 11:00],,,,1791,0,1086,,,0,-530,0,,1980
[18/10/2018 11:30],,,,1791,0,1086,,,0,-530,0,,1980
[18/10/2018 12:00],,,,2017,0,1026,,,0,-530,0,,1677
[18/10/2018 12:30],,,,2017,0,1026,,,0,-530,0,,1677
[18/10/2018 13:00],,,,2017,0,1025,,,0,-530,0,,1635
[18/10/2018 13:30],,,,2017,0,1025,,,0,-530,0,,1635
[18/10/2018 14:00],,,,2016,0,1025,,,0,-530,0,,1449
[18/10/2018 14:30],,,,2016,0,1025,,,0,-530,0,,1449
[18/10/2018 15:00],,,,2016,0,1025,,,0,-530,0,,1838
[18/10/2018 15:30],,,,2016,0,1025,,,0,-530,0,,1838
[18/10/2018 16:00],,,,2016,0,1025,,,0,-419,0,,2284
[18/10/2018 16:30],,,,2016,0,1025,,,0,-419,0,,2284
[18/10/2018 17:00],,,,2017,0,1085,,,0,-347,0,,2543
[18/10/2018 17:30],,,,2017,0,1085,,,0,-347,0,,2543
[18/10/2018 18:00],,,,2017,0,1086,,,0,-147,0,,2385
[18/10/2018 18:30],,,,2017,0,1086,,,0,-147,0,,2385
[18/10/2018 19:00],,,,1818,0,1086,,,0,-305,0,,2215
[18/10/2018 19:30],,,,1818,0,1086,,,0,-305,0,,2215
[18/10/2018 20:00],,,,1818,0,1086,,,0,-486,0,,2407
[18/10/2018 20:30],,,,1818,0,1086,,,0,-486,0,,2407
[18/10/2018 21:00],,,,1818,0,1025,,,0,-301,0,,2676
[18/10/2018 21:30],,,,1818,0,1025,,,0,-301,0,,2676
[18/10/2018 22:00],,,,1818,0,1025,,,0,-127,0,,3000
[18/10/2018 22:30],,,,1818,0,1025,,,0,-127,0,,3000
[18/10/2018 23:00],,,,1818,0,975,,,0,-41,0,,2971
[18/10/2018 23:30],,,,1818,0,975,,,0,-41,0,,2971
[19/10/2018 00:00],,,,1818,0,975,,,0,0,0,,2967
[19/10/2018 00:30],,,,1818,0,975,,,0,0,0,,2967
[19/10/2018 01:00],,,,1816,0,975,,,0,0,0,,3107
[19/10/2018 01:30],,,,1816,0,975,,,0,0,0,,3107
[19/10/2018 02:00],,,,2017,66,975,,,0,0,0,,3252
[19/10/2018 02:30],,,,2017,66,975,,,0,0,0,,3252
[19/10/2018 03:00],,,,2018,107,925,,,0,0,0,,3241
[19/10/2018 03:30],,,,2018,107,925,,,0,0,0,,3241
[19/10/2018 04:00],,,,2018,20,857,,,0,0,0,,3088
[19/10/2018 04:30],,,,2018,20,857,,,0,0,0,,3088
[19/10/2018 05:00],,,,2018,127,0,,,0,0,-225,,1902
[19/10/2018 05:30],,,,2018,127,0,,,0,0,-225,,1902
[19/10/2018 06:00],,,,2017,358,1,,,0,0,0,,-713
[19/10/2018 06:30],,,,2017,358,1,,,0,0,0,,-713
[19/10/2018 07:00],,,,2016,177,1,,,0,0,0,,-149
[19/10/2018 07:30],,,,2016,177,1,,,0,0,0,,-149
[19/10/2018 08:00],,,,2017,0,1,,,0,-100,0,,853
[19/10/2018 08:30],,,,2017,0,1,,,0,-100,0,,853
[19/10/2018 09:00],,,,2017,0,1,,,0,-96,0,,6
[19/10/2018 09:30],,,,2017,0,1,,,0,-96,0,,6
[19/10/2018 10:00],,,,2018,0,266,,,0,-236,0,,-1015
[19/10/2018 10:30],,,,2018,0,266,,,0,-236,0,,-1015
[19/10/2018 11:00],,,,2017,0,546,,,0,-458,0,,-761
[19/10/2018 11:30],,,,2017,0,546,,,0,-458,0,,-761
[19/10/2018 12:00],,,,2018,0,770,,,0,-530,0,,-572
[19/10/2018 12:30],,,,2018,0,770,,,0,-530,0,,-572
[19/10/2018 13:00],,,,2018,0,1022,,,0,-530,0,,609
[19/10/2018 13:30],,,,2018,0,1022,,,0,-530,0,,609
[19/10/2018 14:00],,,,2018,0,804,,,0,-530,0,,113
[19/10/2018 14:30],,,,2018,0,804,,,0,-530,0,,113
[19/10/2018 15:00],,,,2018,0,0,,,0,-530,-100,,-640
[19/10/2018 15:30],,,,2018,0,0,,,0,-530,-100,,-640
[19/10/2018 16:00],,,,2018,0,0,,,0,-530,-462,,386
[19/10/2018 16:30],,,,2018,0,0,,,0,-530,-462,,386
[19/10/2018 17:00],,,,1760,0,370,,,0,-530,0,,1444
[19/10/2018 17:30],,,,1760,0,370,,,0,-530,0,,1444
[19/10/2018 18:00],,,,1715,0,1075,,,0,-530,0,,2186
[19/10/2018 18:30],,,,1715,0,1075,,,0,-530,0,,2186
[19/10/2018 19:00],,,,1661,0,1086,,,0,-530,0,,2580
[19/10/2018 19:30],,,,1661,0,1086,,,0,-530,0,,2580
[19/10/2018 20:00],,,,1568,0,1086,,,0,-496,0,,2777
[19/10/2018 20:30],,,,1568,0,1086,,,0,-496,0,,2777
[19/10/2018 21:00],,,,1568,0,1025,,,0,-261,0,,2990
[19/10/2018 21:30],,,,1568,0,1025,,,0,-261,0,,2990
[19/10/2018 22:00],,,,1433,0,1025,,,0,-41,0,,3180
[19/10/2018 22:30],,,,1433,0,1025,,,0,-41,0,,3180
[19/10/2018 23:00],,,,1462,100,1025,,,0,0,0,,3337
[19/10/2018 23:30],,,,1462,100,1025,,,0,0,0,,3337
[20/10/2018 00:00],,,,1462,32,925,,,0,0,0,,2743
[20/10/2018 00:30],,,,1462,32,925,,,0,0,0,,2743
[20/10/2018 01:00],,,,1461,0,924,,,0,0,0,,3039
[20/10/2018 01:30],,,,1461,0,924,,,0,0,0,,3039
[20/10/2018 02:00],,,,1519,19,924,,,0,0,0,,3058
[20/10/2018 02:30],,,,1519,19,924,,,0,0,0,,3058
[20/10/2018 03:00],,,,1716,87,925,,,0,0,0,,3126
[20/10/2018 03:30],,,,1716,87,925,,,0,0,0,,3126
[20/10/2018 04:00],,,,2017,84,925,,,0,0,0,,3124
[20/10/2018 04:30],,,,2017,84,925,,,0,0,0,,3124
[20/10/2018 05:00],,,,2017,71,925,,,0,0,0,,3110
[20/10/2018 05:30],,,,2017,71,925,,,0,0,0,,3110
[20/10/2018 06:00],,,,2017,62,925,,,0,0,0,,3100
[20/10/2018 06:30],,,,2017,62,925,,,0,0,0,,3100
[20/10/2018 07:00],,,,2018,34,1024,,,0,0,0,,3367
[20/10/2018 07:30],,,,2018,34,1024,,,0,0,0,,3367
[20/10/2018 08:00],,,,2018,267,1085,,,0,0,0,,3660
[20/10/2018 08:30],,,,2018,267,1085,,,0,0,0,,3660
[20/10/2018 09:00],,,,2017,163,1086,,,0,0,0,,3564
[20/10/2018 09:30],,,,2017,163,1086,,,0,0,0,,3564
[20/10/2018 10:00],,,,2017,16,1086,,,0,0,0,,3368
[20/10/2018 10:30],,,,2017,16,1086,,,0,0,0,,3368
[20/10/2018 11:00],,,,2018,0,1086,,,0,0,0,,3156
[20/10/2018 11:30],,,,2018,0,1086,,,0,0,0,,3156
[20/10/2018 12:00],,,,2018,0,1025,,,0,0,0,,2874
[20/10/2018 12:30],,,,2018,0,1025,,,0,0,0,,2874
[20/10/2018 13:00],,,,2018,0,1025,,,0,0,0,,2943
[20/10/2018 13:30],,,,2018,0,1025,,,0,0,0,,2943
[20/10/2018 14:00],,,,2019,0,1025,,,0,0,0,,2971
[20/10/2018 14:30],,,,2019,0,1025,,,0,0,0,,2971
[20/10/2018 15:00],,,,2020,0,1023,,,0,0,0,,3004
[20/10/2018 15:30],,,,2020,0,1023,,,0,0,0,,3004
[20/10/2018 16:00],,,,1918,0,655,,,0,0,0,,2599
[20/10/2018 16:30],,,,1918,0,655,,,0,0,0,,2599
[20/10/2018 17:00],,,,1917,3,1081,,,0,0,0,,2869
[20/10/2018 17:30],,,,1917,3,1081,,,0,0,0,,2869
[20/10/2018 18:00],,,,1356,0,1086,,,0,0,0,,2702
[20/10/2018 18:30],,,,1356,0,1086,,,0,0,0,,2702
[20/10/2018 19:00],,,,1356,0,1086,,,0,-36,0,,2917
[20/10/2018 19:30],,,,1356,0,1086,,,0,-36,0,,2917
[20/10/2018 20:00],,,,1356,0,1086,,,0,0,0,,2955
[20/10/2018 20:30],,,,1356,0,1086,,,0,0,0,,2955
[20/10/2018 21:00],,,,1356,18,1025,,,0,0,0,,2687
[20/10/2018 21:30],,,,1356,18,1025,,,0,0,0,,2687
[20/10/2018 22:00],,,,1355,13,974,,,0,0,0,,2518
[20/10/2018 22:30],,,,1355,13,974,,,0,0,0,,2518
[20/10/2018 23:00],,,,1358,0,875,,,0,0,0,,2472
[20/10/2018 23:30],,,,1358,0,875,,,0,0,0,,2472
[21/10/2018 00:00],,,,1071,0,850,,,0,0,0,,2511
[21/10/2018 00:30],,,,1071,0,850,,,0,0,0,,2511
[21/10/2018 01:00],,,,1067,0,800,,,0,0,0,,2404
[21/10/2018 01:30],,,,1067,0,800,,,0,0,0,,2404
[21/10/2018 02:00],,,,1771,0,799,,,0,0,0,,2440
[21/10/2018 02:30],,,,1771,0,799,,,0,0,0,,2440
[21/10/2018 03:00],,,,2017,0,780,,,0,0,0,,2334
[21/10/2018 03:30],,,,2017,0,780,,,0,0,0,,2334
[21/10/2018 04:00],,,,2017,0,749,,,0,0,0,,2412
[21/10/2018 04:30],,,,2017,0,749,,,0,0,0,,2412
[21/10/2018 05:00],,,,1868,0,749,,,0,0,0,,2453
[21/10/2018 05:30],,,,1868,0,749,,,0,0,0,,2453
[21/10/2018 06:00],,,,1368,82,749,,,0,0,0,,2533
[21/10/2018 06:30],,,,1368,82,749,,,0,0,0,,2533
[21/10/2018 07:00],,,,1335,11,774,,,0,0,0,,2506
[21/10/2018 07:30],,,,1335,11,774,,,0,0,0,,2506
[21/10/2018 08:00],,,,2017,0,874,,,0,0,0,,2748
[21/10/2018 08:30],,,,2017,0,874,,,0,0,0,,2748
[21/10/2018 09:00],,,,2017,104,1025,,,0,0,0,,3387
[21/10/2018 09:30],,,,2017,104,1025,,,0,0,0,,3387
[21/10/2018 10:00],,,,2017,56,1070,,,0,0,0,,3382
[21/10/2018 10:30],,,,2017,56,1070,,,0,0,0,,3382
[21/10/2018 11:00],,,,2017,0,1070,,,0,0,0,,3225
[21/10/2018 11:30],,,,2017,0,1070,,,0,0,0,,3225
[21/10/2018 12:00],,,,2018,0,1025,,,0,0,0,,3088
[21/10/2018 12:30],,,,2018,0,1025,,,0,0,0,,3088
[21/10/2018 13:00],,,,2016,0,1025,,,0,0,0,,3122
[21/10/2018 13:30],,,,2016,0,1025,,,0,0,0,,3122
