Date (WET),BID,MID,OFFER,30 DAY ROLLING,90 DAY ROLLING
,GBP/te,GBP/te,GBP/te,GBP/te,GBP/te
[18/10/2018 07:00],17.10,17.11,17.11,18.40,17.38
[18/10/2018 08:00],17.10,17.11,17.11,18.40,17.38
[18/10/2018 09:00],17.10,17.11,17.11,18.40,17.38
[18/10/2018 10:00],17.10,17.11,17.11,18.40,17.38
[18/10/2018 11:00],17.10,17.11,17.11,18.40,17.38
[18/10/2018 12:00],17.10,17.11,17.11,18.39,17.38
[18/10/2018 13:00],17.10,17.11,17.11,18.39,17.38
[18/10/2018 14:00],17.10,17.11,17.11,18.39,17.39
[18/10/2018 15:00],17.10,17.11,17.11,18.39,17.39
[18/10/2018 16:00],17.10,17.11,17.11,18.39,17.39
[18/10/2018 17:00],17.10,17.11,17.11,18.39,17.39
[18/10/2018 18:00],17.10,17.11,17.11,18.39,17.39
[18/10/2018 19:00],17.10,17.11,17.11,18.39,17.39
[18/10/2018 20:00],17.10,17.11,17.11,18.39,17.39
[18/10/2018 21:00],17.10,17.11,17.11,18.39,17.39
[18/10/2018 22:00],17.10,17.11,17.11,18.38,17.39
[18/10/2018 23:00],17.22,17.24,17.25,18.38,17.40
[19/10/2018 00:00],17.22,17.24,17.25,18.38,17.40
[19/10/2018 01:00],17.26,17.28,17.30,18.43,17.44
[19/10/2018 02:00],17.26,17.28,17.30,18.42,17.44
[19/10/2018 03:00],17.26,17.28,17.30,18.42,17.44
[19/10/2018 04:00],17.26,17.28,17.30,18.42,17.44
[19/10/2018 05:00],17.26,17.28,17.30,18.42,17.44
[19/10/2018 06:00],17.26,17.28,17.30,18.41,17.44
[19/10/2018 07:00],17.26,17.28,17.30,18.41,17.44
[19/10/2018 08:00],17.26,17.28,17.30,18.41,17.45
[19/10/2018 09:00],17.26,17.28,17.30,18.41,17.45
[19/10/2018 10:00],17.26,17.28,17.30,18.40,17.45
[19/10/2018 11:00],17.26,17.28,17.30,18.40,17.45
[19/10/2018 12:00],17.26,17.28,17.30,18.40,17.45
[19/10/2018 13:00],17.26,17.28,17.30,18.40,17.45
[19/10/2018 14:00],17.26,17.28,17.30,18.39,17.45
[19/10/2018 15:00],17.26,17.28,17.30,18.39,17.45
[19/10/2018 16:00],17.26,17.28,17.30,18.39,17.46
[19/10/2018 17:00],17.26,17.28,17.30,18.39,17.46
[19/10/2018 18:00],17.26,17.28,17.30,18.38,17.46
