Date (WET),BELGIUM (BE),FRANCE (FR),GREAT BRITAIN (GB),GREAT BRITAIN (GB - NORDPOOL),ISEM (ISEM),NETHERLANDS (NL),NORWAY (NO2 - SDAC AUCTION),NORWAY (NO2 - NSL AUCTION)
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[18/10/2018 07:00],72.95,72.95,75.28,75.28,79.00,72.95,37.39,
[18/10/2018 07:30],72.95,72.95,75.28,75.28,79.00,72.95,37.39,
[18/10/2018 08:00],71.17,71.17,77.50,77.50,105.70,71.17,37.31,
[18/10/2018 08:30],71.17,71.17,77.50,77.50,105.70,71.17,37.31,
[18/10/2018 09:00],65.92,65.89,72.67,72.67,86.60,65.54,37.30,
[18/10/2018 09:30],65.92,65.89,72.67,72.67,86.60,65.54,37.30,
[18/10/2018 10:00],77.50,65.48,67.10,67.10,81.80,51.52,37.21,
[18/10/2018 10:30],77.50,65.48,67.10,67.10,81.80,51.52,37.21,
[18/10/2018 11:00],75.17,61.66,63.19,63.19,79.20,45.47,37.05,
[18/10/2018 11:30],75.17,61.66,63.19,63.19,79.20,45.47,37.05,
[18/10/2018 12:00],73.19,60.61,62.11,62.11,77.10,45.84,36.97,
[18/10/2018 12:30],73.19,60.61,62.11,62.11,77.10,45.84,36.97,
[18/10/2018 13:00],63.69,56.40,57.80,57.80,72.90,47.47,36.96,
[18/10/2018 13:30],63.69,56.40,57.80,57.80,72.90,47.47,36.96,
[18/10/2018 14:00],60.08,54.96,56.33,56.33,70.70,47.28,36.98,
[18/10/2018 14:30],60.08,54.96,56.33,56.33,70.70,47.28,36.98,
[18/10/2018 15:00],55.42,54.96,56.33,56.33,65.80,52.65,36.18,
[18/10/2018 15:30],55.42,54.96,56.33,56.33,65.80,52.65,36.18,
[18/10/2018 16:00],63.02,63.02,73.01,73.01,76.60,63.02,36.23,
[18/10/2018 16:30],63.02,63.02,73.01,73.01,76.60,63.02,36.23,
[18/10/2018 17:00],70.45,70.45,81.60,81.60,85.60,70.42,36.14,
[18/10/2018 17:30],70.45,70.45,81.60,81.60,85.60,70.42,36.14,
[18/10/2018 18:00],74.42,74.00,104.90,104.90,110.10,73.39,36.42,
[18/10/2018 18:30],74.42,74.00,104.90,104.90,110.10,73.39,36.42,
[18/10/2018 19:00],66.35,66.35,94.93,94.93,99.60,66.35,36.00,
[18/10/2018 19:30],66.35,66.35,94.93,94.93,99.60,66.35,36.00,
[18/10/2018 20:00],62.15,58.21,63.95,63.95,67.10,48.34,35.58,
[18/10/2018 20:30],62.15,58.21,63.95,63.95,67.10,48.34,35.58,
[18/10/2018 21:00],58.01,54.56,58.00,58.00,60.80,50.81,34.66,
[18/10/2018 21:30],58.01,54.56,58.00,58.00,60.80,50.81,34.66,
[18/10/2018 22:00],57.49,52.14,57.88,57.88,60.70,46.34,33.83,
[18/10/2018 22:30],57.49,52.14,57.88,57.88,60.70,46.34,33.83,
[18/10/2018 23:00],49.21,47.57,58.13,58.13,56.61,44.73,34.59,
[18/10/2018 23:30],49.21,47.57,58.13,58.13,56.61,44.73,34.59,
[19/10/2018 00:00],46.59,46.06,53.59,53.59,54.16,44.97,34.38,
[19/10/2018 00:30],46.59,46.06,53.59,53.59,54.16,44.97,34.38,
[19/10/2018 01:00],44.62,44.62,54.06,54.06,52.79,44.62,34.05,
[19/10/2018 01:30],44.62,44.62,54.06,54.06,52.79,44.62,34.05,
[19/10/2018 02:00],44.03,44.01,53.00,53.00,51.62,44.03,34.30,
[19/10/2018 02:30],44.03,44.01,53.00,53.00,51.62,44.03,34.30,
[19/10/2018 03:00],44.28,44.26,52.17,52.17,50.04,44.29,34.60,
[19/10/2018 03:30],44.28,44.26,52.17,52.17,50.04,44.29,34.60,
[19/10/2018 04:00],46.64,46.05,51.97,51.97,50.62,47.31,35.37,
[19/10/2018 04:30],46.64,46.05,51.97,51.97,50.62,47.31,35.37,
[19/10/2018 05:00],54.15,50.38,55.26,55.26,53.95,57.14,36.10,
[19/10/2018 05:30],54.15,50.38,55.26,55.26,53.95,57.14,36.10,
[19/10/2018 06:00],71.35,71.35,69.49,69.49,64.95,71.35,36.52,
[19/10/2018 06:30],71.35,71.35,69.49,69.49,64.95,71.35,36.52,
[19/10/2018 07:00],74.11,74.11,75.63,75.63,71.95,74.11,36.63,
[19/10/2018 07:30],74.11,74.11,75.63,75.63,71.95,74.11,36.63,
[19/10/2018 08:00],74.28,74.28,75.80,75.80,79.67,74.28,36.58,
[19/10/2018 08:30],74.28,74.28,75.80,75.80,79.67,74.28,36.58,
[19/10/2018 09:00],72.21,72.21,73.70,73.70,77.32,72.21,36.54,
[19/10/2018 09:30],72.21,72.21,73.70,73.70,77.32,72.21,36.54,
[19/10/2018 10:00],66.26,66.26,67.62,67.62,70.94,65.89,36.42,
[19/10/2018 10:30],66.26,66.26,67.62,67.62,70.94,65.89,36.42,
[19/10/2018 11:00],61.16,61.16,62.00,62.00,65.04,60.32,36.27,
[19/10/2018 11:30],61.16,61.16,62.00,62.00,65.04,60.32,36.27,
[19/10/2018 12:00],56.15,55.96,55.93,55.93,68.53,54.42,36.19,
[19/10/2018 12:30],56.15,55.96,55.93,55.93,68.53,54.42,36.19,
[19/10/2018 13:00],53.68,53.68,54.78,54.78,70.29,53.13,36.13,
[19/10/2018 13:30],53.68,53.68,54.78,54.78,70.29,53.13,36.13,
[19/10/2018 14:00],53.69,53.69,54.79,54.79,68.53,53.31,35.89,
[19/10/2018 14:30],53.69,53.69,54.79,54.79,68.53,53.31,35.89,
[19/10/2018 15:00],56.66,54.79,55.92,55.92,70.50,57.83,35.89,
[19/10/2018 15:30],56.66,54.79,55.92,55.92,70.50,57.83,35.89,
[19/10/2018 16:00],66.97,65.01,66.35,66.35,79.95,69.09,35.96,
[19/10/2018 16:30],66.97,65.01,66.35,66.35,79.95,69.09,35.96,
[19/10/2018 17:00],72.23,72.23,74.24,74.24,105.00,72.23,36.17,
[19/10/2018 17:30],72.23,72.23,74.24,74.24,105.00,72.23,36.17,
[19/10/2018 18:00],73.99,73.99,100.07,100.07,105.53,73.99,36.16,
[19/10/2018 18:30],73.99,73.99,100.07,100.07,105.53,73.99,36.16,
[19/10/2018 19:00],70.05,70.05,90.00,90.00,105.00,70.05,35.86,
[19/10/2018 19:30],70.05,70.05,90.00,90.00,105.00,70.05,35.86,
[19/10/2018 20:00],60.77,60.77,62.49,62.49,67.06,60.77,35.66,
[19/10/2018 20:30],60.77,60.77,62.49,62.49,67.06,60.77,35.66,
[19/10/2018 21:00],53.69,53.26,60.00,60.00,61.45,52.29,35.08,
[19/10/2018 21:30],53.69,53.26,60.00,60.00,61.45,52.29,35.08,
[19/10/2018 22:00],53.72,51.10,55.62,55.62,56.97,46.54,34.41,
[19/10/2018 22:30],53.72,51.10,55.62,55.62,56.97,46.54,34.41,
[19/10/2018 23:00],57.06,57.06,70.27,70.27,66.98,57.06,35.89,
[19/10/2018 23:30],57.06,57.06,70.27,70.27,66.98,57.06,35.89,
[20/10/2018 00:00],49.84,49.84,60.00,60.00,57.97,49.84,35.62,
[20/10/2018 00:30],49.84,49.84,60.00,60.00,57.97,49.84,35.62,
[20/10/2018 01:00],46.72,46.72,60.00,60.00,58.28,46.72,35.34,
[20/10/2018 01:30],46.72,46.72,60.00,60.00,58.28,46.72,35.34,
[20/10/2018 02:00],45.20,45.20,55.01,55.01,53.18,45.20,35.29,
[20/10/2018 02:30],45.20,45.20,55.01,55.01,53.18,45.20,35.29,
[20/10/2018 03:00],44.73,44.73,54.00,54.00,51.47,44.73,35.31,
[20/10/2018 03:30],44.73,44.73,54.00,54.00,51.47,44.73,35.31,
[20/10/2018 04:00],44.06,44.06,51.71,51.71,49.29,44.06,35.62,
[20/10/2018 04:30],44.06,44.06,51.71,51.71,49.29,44.06,35.62,
[20/10/2018 05:00],46.18,46.18,51.80,51.80,49.37,46.18,35.79,
[20/10/2018 05:30],46.18,46.18,51.80,51.80,49.37,46.18,35.79,
[20/10/2018 06:00],49.38,49.38,54.59,54.59,52.03,49.38,35.50,
[20/10/2018 06:30],49.38,49.38,54.59,54.59,52.03,49.38,35.50,
[20/10/2018 07:00],54.61,54.61,59.08,59.08,57.69,54.61,35.76,
[20/10/2018 07:30],54.61,54.61,59.08,59.08,57.69,54.61,35.76,
[20/10/2018 08:00],62.51,62.51,74.00,74.00,70.50,62.51,36.25,
[20/10/2018 08:30],62.51,62.51,74.00,74.00,70.50,62.51,36.25,
[20/10/2018 09:00],58.59,58.59,80.00,80.00,76.26,58.59,36.34,
[20/10/2018 09:30],58.59,58.59,80.00,80.00,76.26,58.59,36.34,
[20/10/2018 10:00],54.48,54.45,73.30,73.30,71.57,54.40,36.27,
[20/10/2018 10:30],54.48,54.45,73.30,73.30,71.57,54.40,36.27,
[20/10/2018 11:00],49.95,52.18,66.60,66.60,65.03,49.51,36.18,
[20/10/2018 11:30],49.95,52.18,66.60,66.60,65.03,49.51,36.18,
[20/10/2018 12:00],56.67,50.54,58.80,58.80,60.22,45.34,36.02,
[20/10/2018 12:30],56.67,50.54,58.80,58.80,60.22,45.34,36.02,
[20/10/2018 13:00],46.32,48.48,54.30,54.30,55.61,45.92,35.73,
[20/10/2018 13:30],46.32,48.48,54.30,54.30,55.61,45.92,35.73,
[20/10/2018 14:00],46.29,46.75,52.80,52.80,54.08,46.18,35.67,
[20/10/2018 14:30],46.29,46.75,52.80,52.80,54.08,46.18,35.67,
[20/10/2018 15:00],48.57,48.57,55.00,55.00,56.33,48.57,35.66,
[20/10/2018 15:30],48.57,48.57,55.00,55.00,56.33,48.57,35.66,
[20/10/2018 16:00],53.97,53.97,55.45,55.45,56.79,53.97,36.49,
[20/10/2018 16:30],53.97,53.97,55.45,55.45,56.79,53.97,36.49,
[20/10/2018 17:00],66.80,66.80,73.61,73.61,75.39,66.80,36.67,
[20/10/2018 17:30],66.80,66.80,73.61,73.61,75.39,66.80,36.67,
[20/10/2018 18:00],70.46,70.46,100.00,100.00,102.42,70.46,36.66,
[20/10/2018 18:30],70.46,70.46,100.00,100.00,102.42,70.46,36.66,
[20/10/2018 19:00],63.18,63.18,82.90,82.90,86.97,63.18,36.49,
[20/10/2018 19:30],63.18,63.18,82.90,82.90,86.97,63.18,36.49,
[20/10/2018 20:00],54.90,54.90,72.00,72.00,73.74,54.90,36.34,
[20/10/2018 20:30],54.90,54.90,72.00,72.00,73.74,54.90,36.34,
[20/10/2018 21:00],52.89,52.89,63.00,63.00,64.52,52.89,36.17,
[20/10/2018 21:30],52.89,52.89,63.00,63.00,64.52,52.89,36.17,
[20/10/2018 22:00],58.84,53.64,54.72,54.72,56.76,47.15,35.04,
[20/10/2018 22:30],58.84,53.64,54.72,54.72,56.76,47.15,35.04,
[20/10/2018 23:00],50.26,48.47,72.00,72.00,73.70,46.94,37.38,
[20/10/2018 23:30],50.26,48.47,72.00,72.00,73.70,46.94,37.38,
[21/10/2018 00:00],51.84,47.60,66.77,66.77,68.40,56.83,37.03,
[21/10/2018 00:30],51.84,47.60,66.77,66.77,68.40,56.83,37.03,
[21/10/2018 01:00],47.79,45.41,68.02,68.02,67.70,50.59,35.68,
[21/10/2018 01:30],47.79,45.41,68.02,68.02,67.70,50.59,35.68,
[21/10/2018 02:00],44.51,44.51,60.88,60.88,59.40,44.51,34.75,
[21/10/2018 02:30],44.51,44.51,60.88,60.88,59.40,44.51,34.75,
[21/10/2018 03:00],44.36,44.36,53.80,53.80,52.50,44.36,34.71,
[21/10/2018 03:30],44.36,44.36,53.80,53.80,52.50,44.36,34.71,
[21/10/2018 04:00],44.51,44.51,49.91,49.91,48.70,44.51,35.25,
[21/10/2018 04:30],44.51,44.51,49.91,49.91,48.70,44.51,35.25,
[21/10/2018 05:00],45.85,45.85,50.07,50.07,48.60,45.85,35.23,
[21/10/2018 05:30],45.85,45.85,50.07,50.07,48.60,45.85,35.23,
[21/10/2018 06:00],49.38,49.38,54.00,54.00,51.50,49.38,34.77,
[21/10/2018 06:30],49.38,49.38,54.00,54.00,51.50,49.38,34.77,
[21/10/2018 07:00],52.00,52.00,54.30,54.30,53.00,52.00,35.68,
[21/10/2018 07:30],52.00,52.00,54.30,54.30,53.00,52.00,35.68,
