Date (WET),BELGIUM (BE),FRANCE (FR),ISEM (ISEM),NETHERLANDS (NL),NORWAY (NO)
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[18/10/2018 07:00],2.25,2.25,-3.72,2.25,37.84
[18/10/2018 07:30],2.25,2.25,-3.72,2.25,37.84
[18/10/2018 08:00],6.25,6.25,-28.20,6.25,40.14
[18/10/2018 08:30],6.25,6.25,-28.20,6.25,40.14
[18/10/2018 09:00],6.67,6.71,-13.93,7.06,35.33
[18/10/2018 09:30],6.67,6.71,-13.93,7.06,35.33
[18/10/2018 10:00],-10.49,1.55,-14.70,15.52,29.85
[18/10/2018 10:30],-10.49,1.55,-14.70,15.52,29.85
[18/10/2018 11:00],-12.07,1.46,-16.01,17.67,26.10
[18/10/2018 11:30],-12.07,1.46,-16.01,17.67,26.10
[18/10/2018 12:00],-11.16,1.43,-14.99,16.22,25.10
[18/10/2018 12:30],-11.16,1.43,-14.99,16.22,25.10
[18/10/2018 13:00],-5.96,1.34,-15.10,10.28,20.80
[18/10/2018 13:30],-5.96,1.34,-15.10,10.28,20.80
[18/10/2018 14:00],-3.82,1.30,-14.37,8.99,19.31
[18/10/2018 14:30],-3.82,1.30,-14.37,8.99,19.31
[18/10/2018 15:00],0.85,1.30,-9.47,3.62,20.11
[18/10/2018 15:30],0.85,1.30,-9.47,3.62,20.11
[18/10/2018 16:00],9.92,9.92,-3.59,9.92,36.74
[18/10/2018 16:30],9.92,9.92,-3.59,9.92,36.74
[18/10/2018 17:00],11.07,11.07,-4.00,11.10,45.42
[18/10/2018 17:30],11.07,11.07,-4.00,11.10,45.42
[18/10/2018 18:00],30.40,30.81,-5.20,31.43,68.44
[18/10/2018 18:30],30.40,30.81,-5.20,31.43,68.44
[18/10/2018 19:00],28.51,28.51,-4.67,28.51,58.89
[18/10/2018 19:30],28.51,28.51,-4.67,28.51,58.89
[18/10/2018 20:00],1.73,5.68,-3.15,15.55,28.33
[18/10/2018 20:30],1.73,5.68,-3.15,15.55,28.33
[18/10/2018 21:00],-0.08,3.38,-2.80,7.13,23.30
[18/10/2018 21:30],-0.08,3.38,-2.80,7.13,23.30
[18/10/2018 22:00],0.33,5.68,-2.82,11.49,24.01
[18/10/2018 22:30],0.33,5.68,-2.82,11.49,24.01
[18/10/2018 23:00],8.87,10.50,1.52,13.35,23.50
[18/10/2018 23:30],8.87,10.50,1.52,13.35,23.50
[19/10/2018 00:00],6.95,7.48,-0.57,8.57,19.17
[19/10/2018 00:30],6.95,7.48,-0.57,8.57,19.17
[19/10/2018 01:00],9.51,9.51,1.27,9.51,20.06
[19/10/2018 01:30],9.51,9.51,1.27,9.51,20.06
[19/10/2018 02:00],9.04,9.05,1.38,9.04,18.75
[19/10/2018 02:30],9.04,9.05,1.38,9.04,18.75
[19/10/2018 03:00],7.96,7.98,2.13,7.95,17.62
[19/10/2018 03:30],7.96,7.98,2.13,7.95,17.62
[19/10/2018 04:00],5.40,5.99,1.36,4.73,16.66
[19/10/2018 04:30],5.40,5.99,1.36,4.73,16.66
[19/10/2018 05:00],1.19,4.96,1.31,-1.80,19.22
