Date (WET),Day Ahead Price EPEX,Day Ahead Price Nordpool,4H Intraday Price AVG,2H Intraday Price AVG,HH Intraday Price AVG,System Buy Price,System Sell Price
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[18/10/2018 07:00],75.28,75.28,71.25,81.34,58.51,46.93,46.93
[18/10/2018 07:30],75.28,75.28,71.25,81.34,67.97,51.01,51.01
[18/10/2018 08:00],77.50,77.50,71.25,,79.77,97.00,97.00
[18/10/2018 08:30],77.50,77.50,71.25,,90.17,88.15,88.15
[18/10/2018 09:00],72.67,72.67,65.62,,89.06,95.80,95.80
[18/10/2018 09:30],72.67,72.67,65.62,,78.67,48.93,48.93
[18/10/2018 10:00],67.10,67.10,65.62,74.28,71.03,48.30,48.30
[18/10/2018 10:30],67.10,67.10,65.62,74.28,58.84,46.72,46.72
[18/10/2018 11:00],63.19,63.19,65.62,62.44,63.81,47.96,47.96
[18/10/2018 11:30],63.19,63.19,65.62,62.44,62.19,46.12,46.12
[18/10/2018 12:00],62.11,62.11,65.62,62.44,60.20,46.17,46.17
[18/10/2018 12:30],62.11,62.11,65.62,62.44,58.06,46.21,46.21
[18/10/2018 13:00],57.80,57.80,,,58.75,47.01,47.01
[18/10/2018 13:30],57.80,57.80,,,55.97,48.74,48.74
[18/10/2018 14:00],56.33,56.33,,,49.46,49.50,49.50
[18/10/2018 14:30],56.33,56.33,,,48.64,49.70,49.70
[18/10/2018 15:00],56.33,56.33,,,49.09,49.70,49.70
[18/10/2018 15:30],56.33,56.33,,,51.32,49.75,49.75
[18/10/2018 16:00],73.01,73.01,,,50.37,49.28,49.28
[18/10/2018 16:30],73.01,73.01,,,49.12,50.98,50.98
[18/10/2018 17:00],81.60,81.60,52.26,49.81,49.80,51.00,51.00
[18/10/2018 17:30],81.60,81.60,52.26,49.81,50.01,51.71,51.71
[18/10/2018 18:00],104.90,104.90,52.26,49.81,50.02,50.14,50.14
[18/10/2018 18:30],104.90,104.90,52.26,49.81,49.81,105.37,105.37
[18/10/2018 19:00],94.93,94.93,52.26,59.00,57.28,52.15,52.15
[18/10/2018 19:30],94.93,94.93,52.26,59.00,53.29,53.50,53.50
[18/10/2018 20:00],63.95,63.95,52.26,59.00,67.67,53.50,53.50
[18/10/2018 20:30],63.95,63.95,52.26,59.00,58.27,52.25,52.25
[18/10/2018 21:00],58.00,58.00,70.78,74.15,63.88,,
