,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
,MW,,,,,,,,,,,,,,,,,,,
[01-01],33624,31626,33192,31775,37018,35107,35364,37281,36330,34830,30778,31587,31438,29948,29259,29314,28971,27543,28865,30479
[02-01],41318,37403,36682,33095,39077,42391,42544,40008,38259,36675,33506,37995,35783,32489,29972,32201,34766,34943,30807,31235
[03-01],43058,38882,36655,34781,44814,44209,46422,39529,38959,39142,39185,38249,36471,34359,30748,36256,34397,37192,31809,31267
[04-01],42871,36420,35198,40173,46889,43980,45569,39805,45846,43209,40709,37871,35476,34983,35987,37699,36313,37274,29648,34989
[05-01],37471,36103,40748,41657,47967,43209,39901,45389,46751,43711,40343,34390,34836,39120,36999,39519,36834,34251,29289,35840
[06-01],35558,42659,40515,41335,48039,39704,39270,47195,45987,44607,40379,34118,37880,38785,37281,38731,33524,32640,32653,37110
[07-01],41350,44333,40782,40078,43371,38118,44840,47456,47441,44178,35290,39273,38358,38948,36085,34795,33272,33907,32568,37422
[08-01],42343,45001,40943,35804,42459,43845,45502,46146,47213,38790,34983,39629,39134,38315,37530,33071,38665,34324,33516,37021
[09-01],42536,44525,40459,35241,47331,43713,45620,45962,42873,38271,39504,40231,39250,36954,33588,35758,39087,37120,33952,34026
[10-01],42466,43363,36318,40166,47213,43889,45527,42028,41538,43534,40058,42096,39455,32946,32283,36577,38294,38162,33587,32839
[11-01],41685,38880,34868,41080,46067,44694,45448,39153,46849,43890,39839,41545,35632,33091,38557,35130,38822,36547,28556,33299
[12-01],36659,37775,41179,41121,47113,43534,40804,43609,46692,43481,39907,37807,35754,37762,38176,38286,37648,30370,29191,34891
[13-01],34863,41757,41547,41612,45831,38882,38989,43774,46894,41550,41067,37980,39702,38831,39192,37587,33492,28447,32880,35989
[14-01],40036,41418,42303,41389,41239,38107,44343,44806,46714,40123,38249,43383,40879,39446,39045,35083,32778,35218,33188,35569
[15-01],40546,41102,42565,36696,40112,44125,45278,43842,44539,36217,37220,44030,39883,38353,38934,34057,35314,34573,32774,36196
[16-01],41310,41227,41442,35284,46068,44736,45351,42481,39863,35042,42867,45337,39775,39487,37079,38697,36102,34915,33017,30505
[17-01],40879,40782,37567,41045,46075,44273,45559,37585,37806,41796,43642,45060,39297,37019,36360,39022,36732,36156,33834,29995
[18-01],40832,36425,36597,42243,45814,44419,44110,37216,43327,42672,41832,43806,35370,36355,40658,39230,37210,37851,31470,32711
[19-01],35572,35168,41569,42230,44873,42683,39227,43686,43564,43623,40662,40208,34566,41778,41246,39433,36944,35032,32175,32892
[20-01],34617,41150,41214,41244,44067,38513,37642,44257,44433,44618,40782,39460,40423,42613,41114,38714,35904,34267,35897,32707
[21-01],39391,41347,40888,40686,40532,38664,43541,44587,44234,44519,35814,44272,40586,42808,40223,36049,34825,37691,36506,32556
[22-01],39758,41133,41239,37572,40378,45350,44881,43625,43159,40201,34929,44954,40068,42481,37182,35803,36009,38215,36447,33301
[23-01],40422,41317,40571,36690,47335,47032,43680,43164,39103,38311,40673,45156,40106,41032,33202,40176,34471,38946,36219,32556
[24-01],40321,40859,36171,43052,48189,47316,43485,39444,38101,43035,42307,44743,40279,35854,31533,38732,34188,39325,35695,33402
[25-01],45302,35613,35810,43840,48392,47424,43308,37838,44270,43122,40337,44176,34946,35120,34736,38532,35728,35476,31880,35011
[26-01],35695,34472,42595,43639,48081,46021,38740,43492,45165,42903,40853,38109,34961,38939,35787,40341,37032,30855,30193,36818
[27-01],34087,39490,43355,43383,47726,40368,37730,44138,44660,44507,41048,35400,39682,40064,35805,40117,31449,29781,34278,35157
