Date (WET),DEMAND (INDO),DEMAND (ITSDO),DEMAND (NATIONAL GRID),DEMAND (ENTSOE)
,MW,MW,MW,MW
[18/10/2018 07:00],34790.0,35911,,37867.5
[18/10/2018 07:30],36374.0,37640,,37867.5
[18/10/2018 08:00],36906.0,38321,,40003.0
[18/10/2018 08:30],35951.0,37423,,40003.0
[18/10/2018 09:00],35729.0,37192,,40258.5
[18/10/2018 09:30],35172.0,36641,,40258.5
[18/10/2018 10:00],34426.0,35890,,39992.0
[18/10/2018 10:30],33767.0,35231,,39992.0
[18/10/2018 11:00],33243.0,34710,,39886.5
[18/10/2018 11:30],32712.0,34196,,39886.5
[18/10/2018 12:00],32093.0,33570,,39601.0
[18/10/2018 12:30],31868.0,33337,,39601.0
[18/10/2018 13:00],31635.0,33103,,38812.0
[18/10/2018 13:30],31360.0,32820,,38812.0
[18/10/2018 14:00],31645.0,33104,,37929.5
[18/10/2018 14:30],31863.0,33322,,37929.5
[18/10/2018 15:00],32174.0,33633,,37900.0
[18/10/2018 15:30],33131.0,34580,,37900.0
[18/10/2018 16:00],34338.0,35606,,39663.0
[18/10/2018 16:30],35828.0,37073,,39663.0
[18/10/2018 17:00],37080.0,38358,,40927.5
[18/10/2018 17:30],38204.0,39434,,40927.5
[18/10/2018 18:00],39494.0,40568,,43216.5
[18/10/2018 18:30],40361.0,41427,,43216.5
[18/10/2018 19:00],39873.0,41090,,42574.0
[18/10/2018 19:30],39150.0,40443,,42574.0
[18/10/2018 20:00],37875.0,39305,,40118.5
[18/10/2018 20:30],36556.0,37926,,40118.5
[18/10/2018 21:00],34855.0,36094,,37082.0
[18/10/2018 21:30],33011.0,34156,,37082.0
[18/10/2018 22:00],30892.0,31838,,33351.0
[18/10/2018 22:30],28728.0,29525,,33351.0
[18/10/2018 23:00],26740.0,27338,,29760.0
[18/10/2018 23:30],25254.0,25853,,29760.0
[19/10/2018 00:00],24015.0,24907,,26816.5
[19/10/2018 00:30],23018.0,24187,,26816.5
[19/10/2018 01:00],22853.0,24280,,25632.0
[19/10/2018 01:30],22999.0,24992,,25632.0
[19/10/2018 02:00],22753.0,24734,,25265.5
[19/10/2018 02:30],22372.0,24365,,25265.5
[19/10/2018 03:00],21978.0,24110,,24534.0
[19/10/2018 03:30],21756.0,23868,,24534.0
[19/10/2018 04:00],21736.0,23842,,24327.5
[19/10/2018 04:30],21900.0,24005,,24327.5
[19/10/2018 05:00],22841.0,25100,,24906.0
[19/10/2018 05:30],24058.0,26305,,24906.0
[19/10/2018 06:00],27073.0,28683,,29199.0
[19/10/2018 06:30],30294.0,31458,,29199.0
[19/10/2018 07:00],33884.0,34401,,35969.0
[19/10/2018 07:30],35289.0,35871,,35969.0
[19/10/2018 08:00],36307.0,37135,,38822.0
[19/10/2018 08:30],35895.0,36942,,38822.0
[19/10/2018 09:00],35250.0,36272,,38595.0
[19/10/2018 09:30],34488.0,35508,,38595.0
[19/10/2018 10:00],33475.0,34971,,37115.5
[19/10/2018 10:30],32910.0,34479,,37115.5
[19/10/2018 11:00],32350.0,34038,,37098.0
[19/10/2018 11:30],31657.0,33481,,37098.0
[19/10/2018 12:00],31292.0,33153,,37042.0
[19/10/2018 12:30],30479.0,32351,,37042.0
[19/10/2018 13:00],30017.0,31477,,37028.5
[19/10/2018 13:30],29612.0,31074,,37028.5
[19/10/2018 14:00],29651.0,31111,,35427.0
[19/10/2018 14:30],29817.0,31277,,35427.0
[19/10/2018 15:00],30100.0,31658,,34312.5
