Date (WET),Derated Margin,Derated Margin (HR M-2),Derated Margin (HR M-4),Derated Margin (HR M-8),Derated Margin (Noon 0),Derated Margin (Noon 1),System Sell Price (SSP),System Buy Price (SBP),STOR Window,LOLP (Noon 0),LOLP (Noon 1),LOLP (HR M-8),LOLP (HR M-4),LOLP (HR M-2),LOLP (Loss of Load Probability),NIV (Net Imbalance Volume),Non-BM STOR Generation
,MW,MW,MW,MW,MW,MW,GBP/MWh,GBP/MWh,,%,%,%,%,%,%,MW,MW
[07/03/2016 00:00],7063.10,7143.67,7223.27,11151.26,6968.67,,35.62,35.62,0.46,0.00,,0.00,0.00,0.00,0.00,-575.88,32.64
[08/03/2016 00:00],11165.61,11416.43,11936.10,12696.90,10842.38,3887.92,44.18,44.18,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-95.76,14.14
[09/03/2016 00:00],10386.55,10513.13,10803.30,11238.68,11513.41,9697.53,53.68,53.68,0.46,0.00,0.00,0.00,0.00,0.00,0.00,63.10,30.52
[10/03/2016 00:00],8838.34,9030.92,9252.93,9384.11,8483.36,7479.26,85.62,85.62,0.46,0.00,0.00,0.00,0.00,0.00,0.01,-38.58,16.48
[11/03/2016 00:00],9708.67,9912.64,10205.01,10737.63,9724.92,8873.56,37.76,37.76,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-499.76,12.76
[12/03/2016 00:00],11044.57,11184.70,11361.20,11928.28,13216.63,12818.55,32.22,32.22,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-468.54,3.10
[13/03/2016 00:00],11255.36,11195.47,11139.79,11278.82,11166.09,10393.51,30.64,30.64,0.32,0.00,0.00,0.00,0.00,0.00,0.00,-1054.52,3.80
[14/03/2016 00:00],10740.30,10770.78,10837.52,11023.03,10301.68,7959.92,22.12,22.12,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-1806.86,0.00
[15/03/2016 00:00],11168.97,11302.00,11725.63,12342.68,11923.07,9977.03,29.79,29.79,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-368.32,0.00
[16/03/2016 00:00],11271.63,11446.73,11844.16,12394.29,12555.03,11376.61,28.44,28.44,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-674.20,0.00
[17/03/2016 00:00],9571.52,9728.69,9847.81,9920.12,10589.78,9467.97,34.62,34.62,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-846.82,16.56
[18/03/2016 00:00],9980.43,10187.11,10657.91,11215.97,9693.66,8800.14,50.85,50.85,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-91.76,32.14
[19/03/2016 00:00],10436.37,10579.69,10950.40,11566.21,10619.89,8439.43,31.29,31.29,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-532.12,15.42
[20/03/2016 00:00],10713.71,10859.37,11092.61,11249.97,10877.10,8855.10,32.41,32.41,0.32,0.00,0.00,0.00,0.00,0.00,0.00,-627.50,60.64
[21/03/2016 00:00],10547.34,10750.14,10988.69,11120.08,10271.29,7876.94,26.28,26.29,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-855.46,0.00
[22/03/2016 00:00],9417.74,9534.76,9711.67,10101.88,9777.84,7824.85,50.14,50.14,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-503.44,0.00
[23/03/2016 00:00],10434.01,10599.60,10837.47,11102.22,9991.08,9331.71,48.55,48.55,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-98.70,18.34
[24/03/2016 00:00],10444.91,10626.53,10877.10,11157.29,11202.53,10487.55,28.64,28.64,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-507.74,0.00
[25/03/2016 00:00],12229.09,12579.23,12880.10,13210.98,13389.98,12831.81,11.93,11.93,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-1973.42,0.00
[26/03/2016 00:00],12322.49,12400.97,12560.44,13056.49,12901.38,13763.07,17.80,17.80,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-446.70,0.00
[27/03/2016 00:00],16770.99,,,,,,39.49,39.49,0.00,,,,,,0.00,381.06,0.00
[28/03/2016 00:00],,14698.28,14829.92,15900.53,,,27.57,27.57,0.32,,,0.00,0.00,0.00,,-586.08,70.30
[29/03/2016 00:00],9660.83,9923.97,10231.98,11015.19,10580.10,6867.11,36.84,36.84,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-169.00,67.68
[30/03/2016 00:00],9494.52,9643.06,9893.34,10266.93,9902.96,9002.53,27.67,27.67,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-845.18,0.00
[31/03/2016 00:00],8367.05,8487.36,8714.63,9110.54,8937.40,8251.31,34.45,34.45,0.46,0.00,0.00,0.00,0.00,0.00,0.00,-809.94,44.56
[01/04/2016 00:00],11396.00,11543.19,11757.83,12171.81,11310.98,12091.05,25.47,25.47,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-570.94,18.80
[02/04/2016 00:00],11239.63,11420.46,11728.71,12037.72,10982.25,10844.48,39.53,39.53,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-150.32,11.76
[03/04/2016 00:00],10415.33,10460.73,10592.97,11113.45,11286.70,10359.83,32.89,32.90,0.28,0.00,0.00,0.00,0.00,0.00,0.00,-357.28,0.00
[04/04/2016 00:00],8041.47,8244.18,8479.84,8919.24,8034.90,6875.57,24.72,24.72,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-549.04,0.00
[05/04/2016 00:00],10680.69,10732.36,10795.50,10965.18,10643.30,10148.08,22.74,22.74,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-780.72,0.00
[06/04/2016 00:00],11713.20,11714.66,11804.74,12128.97,12025.95,12063.04,18.64,18.64,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-614.10,2.30
[07/04/2016 00:00],10151.90,10210.66,10422.40,10937.46,10176.68,9749.58,38.32,38.33,0.40,0.00,0.00,0.00,0.00,0.00,0.00,67.94,25.68
[08/04/2016 00:00],7635.17,7780.65,7957.52,8033.84,7140.51,6958.16,29.17,29.18,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-300.18,0.00
[09/04/2016 00:00],9446.18,9536.95,9775.17,9974.27,9471.57,7981.05,34.20,34.21,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-173.58,23.56
[10/04/2016 00:00],11451.03,11446.06,11597.39,11870.78,11329.78,10331.67,27.03,27.04,0.28,0.00,0.00,0.00,0.00,0.00,0.00,-421.02,7.18
[11/04/2016 00:00],10846.73,10997.60,11123.12,11650.09,11231.31,10872.81,50.39,50.39,0.40,0.00,0.00,0.00,0.00,0.00,0.00,120.34,17.42
[12/04/2016 00:00],8808.71,8934.52,9080.51,9336.80,9307.51,8630.32,35.14,35.14,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-155.32,43.18
[13/04/2016 00:00],8684.62,8753.90,8964.94,9166.28,8357.41,7604.77,31.30,31.30,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-515.54,0.00
[14/04/2016 00:00],7356.44,7475.71,7684.89,7820.93,7430.46,7238.94,29.91,29.91,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-284.54,0.34
[15/04/2016 00:00],7179.49,7401.99,7766.22,8409.82,7885.44,8956.75,69.61,69.62,0.40,0.00,0.00,0.00,0.00,0.00,0.00,323.52,37.30
[16/04/2016 00:00],9090.89,9228.52,9510.04,10251.40,10417.89,10037.92,33.49,33.49,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-276.38,16.64
[17/04/2016 00:00],10463.12,10525.79,10754.68,11186.26,11151.51,10320.23,32.03,32.03,0.28,0.00,0.00,0.00,0.00,0.00,0.00,-603.56,0.00
[18/04/2016 00:00],9577.32,9597.15,9678.90,9859.79,9849.52,9526.63,33.16,33.16,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-96.98,0.00
[19/04/2016 00:00],7266.79,7320.75,7408.03,7606.71,6569.91,5877.36,40.30,40.31,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-793.66,0.00
[20/04/2016 00:00],8894.76,8971.05,9187.50,9653.70,9247.55,8537.79,23.06,23.06,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-909.76,0.00
[21/04/2016 00:00],8023.71,8107.49,8229.26,8280.33,9134.97,9034.34,28.54,28.55,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-607.84,0.00
[22/04/2016 00:00],7319.51,7455.14,7541.52,7682.46,7591.81,7787.29,58.28,58.29,0.40,0.00,0.00,0.00,0.00,0.00,0.00,82.78,79.52
[23/04/2016 00:00],10722.60,10806.01,11039.82,11548.12,11089.28,11410.42,29.37,29.37,0.40,0.00,0.00,0.00,0.00,0.00,0.00,-399.30,0.00
[24/04/2016 00:00],9262.00,9269.13,9490.24,10084.62,10042.92,8780.29,37.91,37.92,0.28,0.00,0.00,0.00,0.00,0.00,0.00,-47.60,32.88
[25/04/2016 00:00],9839.61,9968.30,10210.20,10705.79,10351.83,10361.51,50.06,50.07,0.49,0.00,0.00,0.00,0.00,0.00,0.00,127.48,60.68
[26/04/2016 00:00],11155.16,11354.74,11833.74,12488.91,12619.52,12807.63,37.05,37.06,0.49,0.00,0.00,0.00,0.00,0.00,0.00,37.04,0.00
[27/04/2016 00:00],8899.66,9005.97,9199.30,9432.59,8339.08,6944.00,38.47,38.47,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-12.88,0.00
[28/04/2016 00:00],8956.70,9090.26,9253.49,9634.75,8850.06,8363.38,41.47,41.47,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-29.32,15.88
[29/04/2016 00:00],11964.47,12062.42,12335.33,12765.89,12676.22,12796.63,40.26,40.26,0.49,0.00,0.00,0.00,0.00,0.00,0.00,-170.82,48.80
[30/04/2016 00:00],9147.01,9150.63,9409.19,10154.30,9418.45,9613.40,50.84,50.84,0.49,0.00,0.00,0.00,0.00,0.00,0.00,90.22,0.00
[01/05/2016 00:00],11547.53,11624.40,11763.34,11941.00,11541.55,11023.62,27.03,27.03,0.30,0.00,0.00,0.00,0.00,0.00,0.00,-573.16,0.00
