Date (WET),PRIMARY HOLDING PRICE,SECONDARY HOLDING PRICE,HIGH HOLDING PRICE,PRIMARY HOLDING VOLUME,SECONDARY HOLDING VOLUME,HIGH HOLDING VOLUME
,GBP/MW/h,GBP/MW/h,GBP/MW/h,MW,MW,MW
[18/10/2018 05:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 05:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 06:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 06:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 07:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 07:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 08:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 08:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 09:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 09:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 10:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 10:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 11:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 11:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 12:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 12:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 13:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 13:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 14:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 14:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 15:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 15:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 16:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 16:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 17:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 17:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 18:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 18:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 19:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 19:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 20:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 20:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 21:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 21:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 22:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 22:30],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 23:00],218.77,218.03,52.20,136.3,81.0,-466.9
[18/10/2018 23:30],218.77,218.03,52.20,136.3,81.0,-466.9
[19/10/2018 00:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 00:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 01:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 01:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 02:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 02:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 03:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 03:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 04:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 04:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 05:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 05:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 06:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 06:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 07:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 07:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 08:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 08:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 09:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 09:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 10:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 10:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 11:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 11:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 12:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 12:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 13:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 13:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 14:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 14:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 15:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 15:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 16:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 16:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 17:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 17:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 18:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 18:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 19:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 19:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 20:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 20:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 21:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 21:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 22:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 22:30],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 23:00],218.77,218.03,52.20,88.5,50.5,-342.8
[19/10/2018 23:30],218.77,218.03,52.20,88.5,50.5,-342.8
[20/10/2018 00:00],218.77,218.03,52.20,159.6,105.8,-362.1
[20/10/2018 00:30],218.77,218.03,52.20,159.6,105.8,-362.1
[20/10/2018 01:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 01:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 02:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 02:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 03:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 03:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 04:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 04:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 05:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 05:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 06:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 06:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 07:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 07:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 08:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 08:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 09:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 09:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 10:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 10:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 11:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 11:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 12:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 12:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 13:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 13:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 14:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 14:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 15:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 15:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 16:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 16:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 17:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 17:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 18:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 18:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 19:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 19:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 20:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 20:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 21:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 21:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 22:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 22:30],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 23:00],218.77,218.03,52.20,160.5,106.7,-381.4
[20/10/2018 23:30],218.77,218.03,52.20,160.5,106.7,-381.4
[21/10/2018 00:00],218.77,218.03,52.20,172.2,113.4,-309.1
[21/10/2018 00:30],218.77,218.03,52.20,172.2,113.4,-309.1
[21/10/2018 01:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 01:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 02:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 02:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 03:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 03:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 04:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 04:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 05:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 05:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 06:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 06:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 07:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 07:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 08:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 08:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 09:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 09:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 10:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 10:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 11:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 11:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 12:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 12:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 13:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 13:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 14:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 14:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 15:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 15:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 16:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 16:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 17:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 17:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 18:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 18:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 19:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 19:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 20:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 20:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 21:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 21:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 22:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 22:30],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 23:00],218.77,218.03,52.20,171.7,113.7,-330.0
[21/10/2018 23:30],218.77,218.03,52.20,171.7,113.7,-330.0
[22/10/2018 00:00],218.77,218.03,52.20,193.5,119.1,-369.2
[22/10/2018 00:30],218.77,218.03,52.20,193.5,119.1,-369.2
[22/10/2018 01:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 01:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 02:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 02:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 03:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 03:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 04:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 04:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 05:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 05:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 06:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 06:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 07:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 07:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 08:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 08:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 09:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 09:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 10:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 10:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 11:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 11:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 12:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 12:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 13:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 13:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 14:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 14:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 15:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 15:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 16:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 16:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 17:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 17:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 18:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 18:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 19:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 19:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 20:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 20:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 21:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 21:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 22:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 22:30],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 23:00],218.77,218.03,52.20,231.8,122.2,-439.1
[22/10/2018 23:30],218.77,218.03,52.20,231.8,122.2,-439.1
[23/10/2018 00:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 00:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 01:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 01:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 02:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 02:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 03:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 03:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 04:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 04:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 05:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 05:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 06:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 06:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 07:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 07:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 08:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 08:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 09:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 09:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 10:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 10:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 11:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 11:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 12:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 12:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 13:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 13:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 14:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 14:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 15:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 15:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 16:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 16:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 17:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 17:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 18:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 18:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 19:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 19:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 20:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 20:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 21:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 21:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 22:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 22:30],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 23:00],218.77,218.03,52.20,232.3,128.9,-428.2
[23/10/2018 23:30],218.77,218.03,52.20,232.3,128.9,-428.2
[24/10/2018 00:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 00:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 01:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 01:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 02:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 02:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 03:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 03:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 04:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 04:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 05:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 05:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 06:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 06:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 07:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 07:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 08:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 08:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 09:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 09:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 10:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 10:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 11:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 11:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 12:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 12:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 13:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 13:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 14:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 14:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 15:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 15:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 16:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 16:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 17:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 17:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 18:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 18:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 19:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 19:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 20:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 20:30],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 21:00],218.77,218.03,52.20,154.3,89.9,-367.6
[24/10/2018 21:30],218.77,218.03,52.20,154.3,89.9,-367.6
