Date (WET),DEMAND (INDO),DEMAND (ITSDO),DEMAND (NATIONAL GRID),DEMAND (ENTSOE),DEMAND FORECAST (ENTSOE),DEMAND FORECAST (NDF),DEMAND FORECAST (TSDF)
,MW,MW,MW,MW,MW,MW,MW
[18/10/2018 07:00],34790,35911,,37868,36256,34362,35475
[18/10/2018 07:30],36374,37640,,37868,36256,35700,36954
[18/10/2018 08:00],36906,38321,,40003,36352,35512,36906
[18/10/2018 08:30],35951,37423,,40003,36352,35008,36448
[18/10/2018 09:00],35729,37192,,40259,37204,34700,36140
[18/10/2018 09:30],35172,36641,,40259,37204,34563,36003
[18/10/2018 10:00],34426,35890,,39992,37617,34028,35468
[18/10/2018 10:30],33767,35231,,39992,37617,33400,34840
[18/10/2018 11:00],33243,34710,,39887,37854,32573,34013
[18/10/2018 11:30],32712,34196,,39887,37854,32123,33563
[18/10/2018 12:00],32093,33570,,39601,38244,31960,33400
[18/10/2018 12:30],31868,33337,,39601,38244,31723,33163
[18/10/2018 13:00],31635,33103,,38812,38144,31612,33052
[18/10/2018 13:30],31360,32820,,38812,38144,31500,32940
[18/10/2018 14:00],31645,33104,,37930,37298,31662,33102
[18/10/2018 14:30],31863,33322,,37930,37298,31893,33333
[18/10/2018 15:00],32174,33633,,37900,37231,32144,33584
[18/10/2018 15:30],33131,34580,,37900,37231,33315,34744
[18/10/2018 16:00],34338,35606,,39663,38690,35002,36248
[18/10/2018 16:30],35828,37073,,39663,38690,36548,37780
[18/10/2018 17:00],37080,38358,,40928,39265,37884,39144
[18/10/2018 17:30],38204,39434,,40928,39265,38800,40005
[18/10/2018 18:00],39494,40568,,43217,40919,39688,40743
[18/10/2018 18:30],40361,41427,,43217,40919,40967,42024
[18/10/2018 19:00],39873,41090,,42574,40337,41000,42205
[18/10/2018 19:30],39150,40443,,42574,40337,40160,41439
[18/10/2018 20:00],37875,39305,,40119,37644,38885,40297
[18/10/2018 20:30],36556,37926,,40119,37644,37392,38742
[18/10/2018 21:00],34855,36094,,37082,34019,35573,36793
[18/10/2018 21:30],33011,34156,,37082,34019,33618,34740
[18/10/2018 22:00],30892,31838,,33351,30037,31698,32631
[18/10/2018 22:30],28728,29525,,33351,30037,29628,30411
[18/10/2018 23:00],26740,27338,,29760,26166,27476,28023
[18/10/2018 23:30],25254,25853,,29760,26166,25600,26172
[19/10/2018 00:00],24015,24907,,26817,24291,24000,24926
[19/10/2018 00:30],23018,24187,,26817,24291,23288,24433
[19/10/2018 01:00],22853,24280,,25632,24414,23200,24706
[19/10/2018 01:30],22999,24992,,25632,24414,23400,25407
