Date (WET),Capacity,Capacity Inferred (EnAppSys),Sheffield Solar Outturn (Max),Sheffield Solar Outturn,National Grid Forecast (Max),Sheffield Solar Upper Bound,Sheffield Solar Lower Bound,National Grid Forecast,Solar Forecast (EnAppSys),Solar D-1 Forecast (EnAppSys),Solar P10 Forecast (EnAppSys),Solar P90 Forecast (EnAppSys)
,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW
[18/10/2018 07:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[18/10/2018 07:30],12960.0,11620.6,63.0,63.0,35.0,65.0,61.0,35.0,,,,
[18/10/2018 08:00],12960.0,11620.6,532.0,532.0,414.0,545.0,519.0,414.0,,,,
[18/10/2018 08:30],12960.0,11620.6,1260.0,1260.0,1040.0,1280.0,1230.0,1040.0,,,,
[18/10/2018 09:00],12960.0,11620.6,1990.0,1990.0,1700.0,2030.0,1960.0,1700.0,,,,
[18/10/2018 09:30],12960.0,11620.6,3030.0,3030.0,2420.0,3070.0,2990.0,2420.0,,,,
[18/10/2018 10:00],12960.0,11620.6,4130.0,4130.0,3180.0,4170.0,4080.0,3180.0,,,,
[18/10/2018 10:30],12960.0,11620.6,4940.0,4940.0,3880.0,4990.0,4890.0,3880.0,,,,
[18/10/2018 11:00],12960.0,11620.6,5470.0,5470.0,4530.0,5510.0,5420.0,4530.0,,,,
[18/10/2018 11:30],12960.0,11620.6,5730.0,5730.0,4960.0,5780.0,5680.0,4960.0,,,,
[18/10/2018 12:00],12960.0,11620.6,5970.0,5970.0,5290.0,6020.0,5930.0,5290.0,,,,
[18/10/2018 12:30],12960.0,11620.6,5740.0,5740.0,5420.0,5790.0,5700.0,5420.0,,,,
[18/10/2018 13:00],12960.0,11620.6,5400.0,5400.0,5350.0,5450.0,5360.0,5350.0,,,,
[18/10/2018 13:30],12960.0,11620.6,5050.0,5050.0,5040.0,5100.0,5000.0,5040.0,,,,
[18/10/2018 14:00],12960.0,11620.6,4400.0,4400.0,4530.0,4450.0,4350.0,4530.0,,,,
[18/10/2018 14:30],12960.0,11620.6,3760.0,3760.0,4010.0,3810.0,3720.0,4010.0,,,,
[18/10/2018 15:00],12960.0,11620.6,3290.0,3290.0,3490.0,3340.0,3250.0,3490.0,,,,
[18/10/2018 15:30],12960.0,11620.6,2590.0,2590.0,2840.0,2630.0,2550.0,2840.0,,,,
[18/10/2018 16:00],12960.0,11620.6,2050.0,2050.0,2240.0,2090.0,2020.0,2240.0,,,,
[18/10/2018 16:30],12960.0,11620.6,1440.0,1440.0,1540.0,1470.0,1410.0,1540.0,,,,
[18/10/2018 17:00],12960.0,11620.6,717.0,717.0,788.0,733.0,700.0,788.0,,,,
[18/10/2018 17:30],12960.0,11620.6,145.0,145.0,195.0,149.0,141.0,195.0,,,,
[18/10/2018 18:00],12960.0,11620.6,3.6,3.6,7.0,4.0,3.2,7.0,,,,
[18/10/2018 18:30],12960.0,11620.6,0.2,0.2,5.0,0.3,0.1,5.0,,,,
[18/10/2018 19:00],12960.0,11620.6,0.1,0.1,3.0,0.1,0.0,3.0,,,,
[18/10/2018 19:30],12960.0,11620.6,0.0,0.0,3.0,0.1,0.0,3.0,,,,
[18/10/2018 20:00],12960.0,11620.6,0.0,0.0,4.0,0.0,0.0,4.0,,,,
[18/10/2018 20:30],12960.0,11620.6,0.1,0.1,2.0,0.1,0.0,2.0,,,,
[18/10/2018 21:00],12960.0,11620.6,0.0,0.0,2.0,0.1,0.0,2.0,,,,
[18/10/2018 21:30],12960.0,11620.6,0.1,0.1,0.0,0.1,0.0,0.0,,,,
[18/10/2018 22:00],12960.0,11620.6,0.1,0.1,0.0,0.1,0.0,0.0,,,,
[18/10/2018 22:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[18/10/2018 23:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[18/10/2018 23:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[19/10/2018 00:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[19/10/2018 00:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[19/10/2018 01:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[19/10/2018 01:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[19/10/2018 02:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[19/10/2018 02:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[19/10/2018 03:00],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[19/10/2018 03:30],12960.0,11620.6,0.0,0.0,0.0,0.0,0.0,0.0,,,,
[19/10/2018 04:00],12960.0,11620.6,0.1,0.1,0.0,0.2,0.0,0.0,,,,
[19/10/2018 04:30],12960.0,11620.6,0.1,0.1,0.0,0.1,0.0,0.0,,,,
[19/10/2018 05:00],12960.0,11620.6,0.1,0.1,0.0,0.1,0.0,0.0,,,,
[19/10/2018 05:30],12960.0,11620.6,0.1,0.1,0.0,0.3,0.0,0.0,,,,
[19/10/2018 06:00],12960.0,11620.6,0.0,0.0,0.0,0.1,0.0,0.0,,,,
[19/10/2018 06:30],12960.0,11620.6,0.1,0.1,0.0,0.1,0.0,0.0,,,,
[19/10/2018 07:00],12960.0,11620.6,0.1,0.1,0.0,0.2,0.0,0.0,,,,
[19/10/2018 07:30],12960.0,11620.6,28.8,28.8,29.0,31.8,25.8,29.0,,,,
[19/10/2018 08:00],12960.0,11620.6,353.0,353.0,356.0,375.0,330.0,356.0,,,,
[19/10/2018 08:30],12960.0,11620.6,889.0,889.0,898.0,942.0,836.0,898.0,,,,
[19/10/2018 09:00],12960.0,11620.6,1620.0,1620.0,1640.0,1700.0,1540.0,1640.0,,,,
[19/10/2018 09:30],12960.0,11620.6,2410.0,2410.0,2420.0,2510.0,2300.0,2420.0,,,,
[19/10/2018 10:00],12960.0,11620.6,3130.0,3130.0,3160.0,3250.0,3010.0,3160.0,,,,
[19/10/2018 10:30],12960.0,11620.6,3840.0,3840.0,3870.0,3980.0,3710.0,3870.0,,,,
