Date (WET),Capacity,Capacity Inferred (EnAppSys),Sheffield Solar Outturn,Latest Forecast (EnAppSys),H-6,H-12,H-18,D-1,D-2,D-3,D-4,D-5,D-6,D-7
,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW
[18/10/2018 07:00],12960.0,11620.6,0.0,,,,,,,,,,,
[18/10/2018 07:30],12960.0,11620.6,63.0,,,,,,,,,,,
[18/10/2018 08:00],12960.0,11620.6,532.0,,,,,,,,,,,
[18/10/2018 08:30],12960.0,11620.6,1260.0,,,,,,,,,,,
[18/10/2018 09:00],12960.0,11620.6,1990.0,,,,,,,,,,,
[18/10/2018 09:30],12960.0,11620.6,3030.0,,,,,,,,,,,
[18/10/2018 10:00],12960.0,11620.6,4130.0,,,,,,,,,,,
[18/10/2018 10:30],12960.0,11620.6,4940.0,,,,,,,,,,,
[18/10/2018 11:00],12960.0,11620.6,5470.0,,,,,,,,,,,
[18/10/2018 11:30],12960.0,11620.6,5730.0,,,,,,,,,,,
[18/10/2018 12:00],12960.0,11620.6,5970.0,,,,,,,,,,,
[18/10/2018 12:30],12960.0,11620.6,5740.0,,,,,,,,,,,
[18/10/2018 13:00],12960.0,11620.6,5400.0,,,,,,,,,,,
[18/10/2018 13:30],12960.0,11620.6,5050.0,,,,,,,,,,,
[18/10/2018 14:00],12960.0,11620.6,4400.0,,,,,,,,,,,
[18/10/2018 14:30],12960.0,11620.6,3760.0,,,,,,,,,,,
[18/10/2018 15:00],12960.0,11620.6,3290.0,,,,,,,,,,,
[18/10/2018 15:30],12960.0,11620.6,2590.0,,,,,,,,,,,
[18/10/2018 16:00],12960.0,11620.6,2050.0,,,,,,,,,,,
[18/10/2018 16:30],12960.0,11620.6,1440.0,,,,,,,,,,,
[18/10/2018 17:00],12960.0,11620.6,717.0,,,,,,,,,,,
[18/10/2018 17:30],12960.0,11620.6,145.0,,,,,,,,,,,
[18/10/2018 18:00],12960.0,11620.6,3.6,,,,,,,,,,,
[18/10/2018 18:30],12960.0,11620.6,0.2,,,,,,,,,,,
[18/10/2018 19:00],12960.0,11620.6,0.1,,,,,,,,,,,
[18/10/2018 19:30],12960.0,11620.6,0.0,,,,,,,,,,,
[18/10/2018 20:00],12960.0,11620.6,0.0,,,,,,,,,,,
[18/10/2018 20:30],12960.0,11620.6,0.1,,,,,,,,,,,
[18/10/2018 21:00],12960.0,11620.6,0.0,,,,,,,,,,,
[18/10/2018 21:30],12960.0,11620.6,0.1,,,,,,,,,,,
[18/10/2018 22:00],12960.0,11620.6,0.1,,,,,,,,,,,
[18/10/2018 22:30],12960.0,11620.6,0.0,,,,,,,,,,,
[18/10/2018 23:00],12960.0,11620.6,0.0,,,,,,,,,,,
[18/10/2018 23:30],12960.0,11620.6,0.0,,,,,,,,,,,
[19/10/2018 00:00],12960.0,11620.6,0.0,,,,,,,,,,,
[19/10/2018 00:30],12960.0,11620.6,0.0,,,,,,,,,,,
[19/10/2018 01:00],12960.0,11620.6,0.0,,,,,,,,,,,
[19/10/2018 01:30],12960.0,11620.6,0.0,,,,,,,,,,,
[19/10/2018 02:00],12960.0,11620.6,0.0,,,,,,,,,,,
[19/10/2018 02:30],12960.0,11620.6,0.0,,,,,,,,,,,
[19/10/2018 03:00],12960.0,11620.6,0.0,,,,,,,,,,,
[19/10/2018 03:30],12960.0,11620.6,0.0,,,,,,,,,,,
[19/10/2018 04:00],12960.0,11620.6,0.1,,,,,,,,,,,
[19/10/2018 04:30],12960.0,11620.6,0.1,,,,,,,,,,,
[19/10/2018 05:00],12960.0,11620.6,0.1,,,,,,,,,,,
[19/10/2018 05:30],12960.0,11620.6,0.1,,,,,,,,,,,
[19/10/2018 06:00],12960.0,11620.6,0.0,,,,,,,,,,,
[19/10/2018 06:30],12960.0,11620.6,0.1,,,,,,,,,,,
[19/10/2018 07:00],12960.0,11620.6,0.1,,,,,,,,,,,
[19/10/2018 07:30],12960.0,11620.6,28.8,,,,,,,,,,,
[19/10/2018 08:00],12960.0,11620.6,353.0,,,,,,,,,,,
[19/10/2018 08:30],12960.0,11620.6,889.0,,,,,,,,,,,
[19/10/2018 09:00],12960.0,11620.6,1620.0,,,,,,,,,,,
[19/10/2018 09:30],12960.0,11620.6,2410.0,,,,,,,,,,,
[19/10/2018 10:00],12960.0,11620.6,3130.0,,,,,,,,,,,
[19/10/2018 10:30],12960.0,11620.6,3840.0,,,,,,,,,,,
[19/10/2018 11:00],12960.0,11620.6,4330.0,,,,,,,,,,,
[19/10/2018 11:30],12960.0,11620.6,4850.0,,,,,,,,,,,
[19/10/2018 12:00],12960.0,11620.6,5330.0,,,,,,,,,,,
[19/10/2018 12:30],12960.0,11620.6,5620.0,,,,,,,,,,,
[19/10/2018 13:00],12960.0,11620.6,5510.0,,,,,,,,,,,
[19/10/2018 13:30],12960.0,11620.6,5200.0,,,,,,,,,,,
[19/10/2018 14:00],12960.0,11620.6,4670.0,,,,,,,,,,,
[19/10/2018 14:30],12960.0,11620.6,4080.0,,,,,,,,,,,
[19/10/2018 15:00],12960.0,11620.6,3620.0,,,,,,,,,,,
[19/10/2018 15:30],12960.0,11620.6,3040.0,,,,,,,,,,,
[19/10/2018 16:00],12960.0,11620.6,2240.0,,,,,,,,,,,
[19/10/2018 16:30],12960.0,11620.6,1450.0,,,,,,,,,,,
[19/10/2018 17:00],12960.0,11620.6,644.0,,,,,,,,,,,
[19/10/2018 17:30],12960.0,11620.6,70.3,,,,,,,,,,,
[19/10/2018 18:00],12960.0,11620.6,8.3,,,,,,,,,,,
[19/10/2018 18:30],12960.0,11620.6,9.1,,,,,,,,,,,
[19/10/2018 19:00],12960.0,11620.6,3.8,,,,,,,,,,,
[19/10/2018 19:30],12960.0,11620.6,5.3,,,,,,,,,,,
[19/10/2018 20:00],12960.0,11620.6,3.8,,,,,,,,,,,
[19/10/2018 20:30],12960.0,11620.6,2.1,,,,,,,,,,,
[19/10/2018 21:00],12960.0,11620.6,2.8,,,,,,,,,,,
[19/10/2018 21:30],12960.0,11620.6,0.1,,,,,,,,,,,
[19/10/2018 22:00],12960.0,11620.6,0.0,,,,,,,,,,,
[19/10/2018 22:30],12960.0,11620.6,0.0,,,,,,,,,,,
[19/10/2018 23:00],12960.0,11620.6,0.0,,,,,,,,,,,
[19/10/2018 23:30],12960.0,11620.6,0.0,,,,,,,,,,,
[20/10/2018 00:00],12960.0,11620.6,0.0,,,,,,,,,,,
[20/10/2018 00:30],12960.0,11620.6,0.0,,,,,,,,,,,
[20/10/2018 01:00],12960.0,11620.6,0.0,,,,,,,,,,,
[20/10/2018 01:30],12960.0,11620.6,0.0,,,,,,,,,,,
[20/10/2018 02:00],12960.0,11620.6,0.0,,,,,,,,,,,
[20/10/2018 02:30],12960.0,11620.6,0.0,,,,,,,,,,,
[20/10/2018 03:00],12960.0,11620.6,0.0,,,,,,,,,,,
[20/10/2018 03:30],12960.0,11620.6,0.0,,,,,,,,,,,
[20/10/2018 04:00],12960.0,11620.6,0.0,,,,,,,,,,,
[20/10/2018 04:30],12960.0,11620.6,0.0,,,,,,,,,,,
[20/10/2018 05:00],12960.0,11620.6,0.0,,,,,,,,,,,
[20/10/2018 05:30],12960.0,11620.6,0.0,,,,,,,,,,,
