Date (WET),Capacity,Total Accepted Balancing Level,Wind Outturn,National Grid Forecast,EnAppSys Forecast Trend-Adjusted,EnAppSys Forecast Unadjusted
,MW,MW,MW,MW,MW,MW
[18/10/2018 07:00],12051.0,0.0,2078.5,2394.0,1946.5,1145.0
[18/10/2018 07:30],12051.0,0.0,2135.3,2394.0,1987.9,1137.3
[18/10/2018 08:00],12051.0,0.0,2135.7,2295.0,1995.7,1105.6
[18/10/2018 08:30],12051.0,0.0,1877.7,2295.0,2008.6,1088.4
[18/10/2018 09:00],12051.0,0.0,1743.2,2225.0,1753.2,1079.8
[18/10/2018 09:30],12051.0,0.0,1691.7,2225.0,1646.8,1069.7
[18/10/2018 10:00],12051.0,0.0,1138.0,2111.0,1643.3,1071.6
[18/10/2018 10:30],12051.0,0.0,0.0,2111.0,1555.5,1052.9
[18/10/2018 11:00],12051.0,0.0,276.0,1950.0,1438.2,997.6
[18/10/2018 11:30],12051.0,0.0,1637.0,1950.0,1336.5,961.8
[18/10/2018 12:00],12051.0,0.0,1604.5,1811.0,1386.7,943.2
[18/10/2018 12:30],12051.0,0.0,1548.0,1811.0,1235.4,924.2
[18/10/2018 13:00],12051.0,0.0,1566.2,1698.0,1162.6,906.9
[18/10/2018 13:30],12051.0,0.0,1530.7,1698.0,1100.5,878.6
[18/10/2018 14:00],12051.0,0.0,1499.8,1645.0,1452.6,864.5
[18/10/2018 14:30],12051.0,0.0,1449.7,1645.0,1347.5,837.5
[18/10/2018 15:00],12051.0,0.0,1299.0,1603.0,1378.5,820.0
[18/10/2018 15:30],12051.0,0.0,1330.5,1603.0,1220.9,799.3
[18/10/2018 16:00],12051.0,0.0,1432.0,1521.0,1280.1,781.8
[18/10/2018 16:30],12051.0,0.0,1520.8,1521.0,1390.2,775.2
[18/10/2018 17:00],12051.0,0.0,1458.5,1511.0,1442.2,774.5
[18/10/2018 17:30],12051.0,0.0,1401.2,1511.0,1371.1,777.3
[18/10/2018 18:00],12051.0,0.0,1383.8,1571.0,1336.7,718.2
[18/10/2018 18:30],12051.0,0.0,1386.8,1571.0,1334.9,725.0
[18/10/2018 19:00],12051.0,0.0,1379.8,1646.0,1347.8,732.0
[18/10/2018 19:30],12051.0,0.0,1395.7,1646.0,1300.2,737.6
[18/10/2018 20:00],12051.0,0.0,1406.7,1726.0,1350.9,748.0
[18/10/2018 20:30],12051.0,0.0,1478.3,1726.0,1371.2,763.2
[18/10/2018 21:00],12051.0,0.0,1498.2,1572.0,1447.7,779.2
[18/10/2018 21:30],12051.0,0.0,1510.0,1572.0,1486.9,802.3
[18/10/2018 22:00],12051.0,0.0,1652.8,1633.0,1485.4,824.8
[18/10/2018 22:30],12051.0,0.0,1841.0,1633.0,1474.3,842.0
[18/10/2018 23:00],12051.0,0.0,1918.0,1732.0,1791.0,899.1
[18/10/2018 23:30],12051.0,0.0,2025.3,1732.0,1903.8,938.8
[19/10/2018 00:00],12051.0,1.9,2234.2,1891.0,1976.0,967.8
[19/10/2018 00:30],12051.0,10.0,2316.0,1891.0,2248.9,1146.7
[19/10/2018 01:00],12051.0,10.5,2530.5,2122.0,2280.3,1186.5
[19/10/2018 01:30],12051.0,11.0,2598.8,2122.0,2505.8,1231.3
[19/10/2018 02:00],12051.0,12.0,2565.5,2420.0,2564.5,1284.5
[19/10/2018 02:30],12051.0,13.0,2552.8,2420.0,2571.5,1357.6
[19/10/2018 03:00],12051.0,13.0,2579.8,2618.0,2506.8,1400.9
[19/10/2018 03:30],12051.0,14.0,2655.3,2618.0,2600.9,1488.0
[19/10/2018 04:00],12051.0,8.4,2556.0,2741.0,2614.0,1549.3
[19/10/2018 04:30],12051.0,14.5,2617.7,2741.0,2601.0,1664.3
[19/10/2018 05:00],12051.0,15.0,2738.7,2772.0,2751.1,1836.2
[19/10/2018 05:30],12051.0,15.0,2898.3,2772.0,2848.4,2054.2
[19/10/2018 06:00],12051.0,15.5,2955.7,2973.0,2976.2,2241.6
[19/10/2018 06:30],12051.0,14.1,3200.0,2973.0,3091.5,1995.7
[19/10/2018 07:00],12051.0,0.0,3702.8,3160.0,3261.8,2158.8
