Date (WET),DLH,Dynamic Containment,Dynamic FFR,EFR,Fast Reserve,LFS,MFR High,MFR Primary,MFR Secondary,Static FFR,STOR (DAY AHEAD),STOR (HISTORIC)
,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW
[16/10/2018 00:00],0.0,,338.0,201.0,0.0,0.0,407.3,118.7,89.2,192.0,,0.0
[16/10/2018 00:30],0.0,,338.0,201.0,0.0,0.0,407.3,118.7,89.2,192.0,,0.0
[16/10/2018 01:00],0.0,,338.0,201.0,0.0,0.0,407.3,118.7,89.2,192.0,,0.0
[16/10/2018 01:30],0.0,,338.0,201.0,0.0,0.0,407.3,118.7,89.2,192.0,,0.0
[16/10/2018 02:00],0.0,,338.0,201.0,0.0,0.0,407.3,118.7,89.2,192.0,,0.0
[16/10/2018 02:30],0.0,,338.0,201.0,0.0,0.0,407.3,118.7,89.2,192.0,,0.0
[16/10/2018 03:00],0.0,,338.0,201.0,0.0,0.0,407.3,118.7,89.2,191.0,,0.0
[16/10/2018 03:30],0.0,,338.0,201.0,0.0,0.0,407.3,118.7,89.2,191.0,,0.0
[16/10/2018 04:00],0.0,,338.0,201.0,0.0,0.0,407.3,118.7,89.2,191.0,,0.0
[16/10/2018 04:30],0.0,,338.0,201.0,0.0,0.0,407.3,118.7,89.2,191.0,,0.0
[16/10/2018 05:00],0.0,,338.0,201.0,0.0,0.0,407.3,118.7,89.2,191.0,,0.0
[16/10/2018 05:30],0.0,,338.0,201.0,0.0,0.0,407.3,118.7,89.2,191.0,,0.0
[16/10/2018 06:00],0.0,,338.0,201.0,300.0,0.0,407.3,118.7,89.2,181.0,,866.3
[16/10/2018 06:30],0.0,,498.0,201.0,300.0,0.0,407.3,118.7,89.2,181.0,,866.3
[16/10/2018 07:00],0.0,,435.0,201.0,300.0,0.0,407.3,118.7,89.2,294.0,,866.3
[16/10/2018 07:30],0.0,,435.0,201.0,300.0,0.0,407.3,118.7,89.2,294.0,,866.3
[16/10/2018 08:00],0.0,,435.0,201.0,300.0,0.0,407.3,118.7,89.2,294.0,,866.3
[16/10/2018 08:30],0.0,,435.0,201.0,300.0,0.0,407.3,118.7,89.2,294.0,,866.3
[16/10/2018 09:00],0.0,,435.0,201.0,300.0,0.0,407.3,118.7,89.2,294.0,,866.3
[16/10/2018 09:30],0.0,,435.0,201.0,300.0,0.0,407.3,118.7,89.2,294.0,,866.3
[16/10/2018 10:00],0.0,,435.0,201.0,300.0,0.0,407.3,118.7,89.2,294.0,,866.3
[16/10/2018 10:30],0.0,,435.0,201.0,300.0,0.0,407.3,118.7,89.2,294.0,,866.3
[16/10/2018 11:00],0.0,,435.0,201.0,300.0,0.0,407.3,118.7,89.2,282.0,,866.3
[16/10/2018 11:30],0.0,,435.0,201.0,300.0,0.0,407.3,118.7,89.2,282.0,,866.3
[16/10/2018 12:00],0.0,,435.0,201.0,300.0,0.0,407.3,118.7,89.2,282.0,,866.3
[16/10/2018 12:30],0.0,,435.0,201.0,300.0,0.0,407.3,118.7,89.2,282.0,,866.3
[16/10/2018 13:00],0.0,,435.0,201.0,300.0,0.0,407.3,118.7,89.2,282.0,,0.0
[16/10/2018 13:30],0.0,,435.0,201.0,300.0,0.0,407.3,118.7,89.2,282.0,,0.0
