Date (WET),BID,MID,OFFER,30 DAY ROLLING,90 DAY ROLLING
,EUR/te,EUR/te,EUR/te,EUR/te,EUR/te
[18/10/2018 07:00],19.45,19.46,19.47,20.93,19.77
[18/10/2018 08:00],19.45,19.46,19.47,20.93,19.77
[18/10/2018 09:00],19.45,19.46,19.47,20.93,19.77
[18/10/2018 10:00],19.45,19.46,19.47,20.93,19.77
[18/10/2018 11:00],19.45,19.46,19.47,20.93,19.77
[18/10/2018 12:00],19.45,19.46,19.47,20.92,19.77
[18/10/2018 13:00],19.45,19.46,19.47,20.92,19.77
[18/10/2018 14:00],19.45,19.46,19.47,20.92,19.78
[18/10/2018 15:00],19.45,19.46,19.47,20.92,19.78
[18/10/2018 16:00],19.45,19.46,19.47,20.92,19.78
[18/10/2018 17:00],19.45,19.46,19.47,20.92,19.78
[18/10/2018 18:00],19.45,19.46,19.47,20.92,19.78
[18/10/2018 19:00],19.45,19.46,19.47,20.92,19.78
[18/10/2018 20:00],19.45,19.46,19.47,20.92,19.78
[18/10/2018 21:00],19.45,19.46,19.47,20.92,19.78
[18/10/2018 22:00],19.45,19.46,19.47,20.91,19.78
[18/10/2018 23:00],19.59,19.61,19.63,20.91,19.79
[19/10/2018 00:00],19.59,19.61,19.63,20.91,19.79
[19/10/2018 01:00],19.59,19.61,19.63,20.91,19.79
[19/10/2018 02:00],19.59,19.61,19.63,20.90,19.79
[19/10/2018 03:00],19.59,19.61,19.63,20.90,19.79
[19/10/2018 04:00],19.59,19.61,19.63,20.90,19.79
[19/10/2018 05:00],19.59,19.61,19.63,20.90,19.79
[19/10/2018 06:00],19.59,19.61,19.63,20.89,19.79
[19/10/2018 07:00],19.59,19.61,19.63,20.89,19.79
[19/10/2018 08:00],19.59,19.61,19.63,20.89,19.80
[19/10/2018 09:00],19.59,19.61,19.63,20.89,19.80
[19/10/2018 10:00],19.59,19.61,19.63,20.88,19.80
[19/10/2018 11:00],19.59,19.61,19.63,20.88,19.80
[19/10/2018 12:00],19.59,19.61,19.63,20.88,19.80
[19/10/2018 13:00],19.59,19.61,19.63,20.88,19.80
[19/10/2018 14:00],19.59,19.61,19.63,20.87,19.80
[19/10/2018 15:00],19.59,19.61,19.63,20.87,19.80
[19/10/2018 16:00],19.59,19.61,19.63,20.87,19.81
[19/10/2018 17:00],19.59,19.61,19.63,20.87,19.81
[19/10/2018 18:00],19.59,19.61,19.63,20.86,19.81
[19/10/2018 19:00],19.59,19.61,19.63,20.86,19.81
[19/10/2018 20:00],19.59,19.61,19.63,20.86,19.81
[19/10/2018 21:00],19.59,19.61,19.63,20.86,19.81
[19/10/2018 22:00],19.59,19.61,19.63,20.85,19.81
[19/10/2018 23:00],19.75,19.77,19.79,20.85,19.81
[20/10/2018 00:00],19.75,19.77,19.79,20.85,19.81
[20/10/2018 01:00],19.75,19.77,19.79,20.84,19.82
[20/10/2018 02:00],19.75,19.77,19.79,20.84,19.82
[20/10/2018 03:00],19.75,19.77,19.79,20.84,19.82
[20/10/2018 04:00],19.75,19.77,19.79,20.84,19.82
[20/10/2018 05:00],19.75,19.77,19.79,20.83,19.82
[20/10/2018 06:00],19.75,19.77,19.79,20.83,19.82
[20/10/2018 07:00],19.75,19.77,19.79,20.83,19.82
[20/10/2018 08:00],19.75,19.77,19.79,20.82,19.82
[20/10/2018 09:00],19.75,19.77,19.79,20.82,19.83
[20/10/2018 10:00],19.75,19.77,19.79,20.82,19.83
[20/10/2018 11:00],19.75,19.77,19.79,20.81,19.83
[20/10/2018 12:00],19.75,19.77,19.79,20.81,19.83
[20/10/2018 13:00],19.75,19.77,19.79,20.81,19.83
[20/10/2018 14:00],19.75,19.77,19.79,20.80,19.83
[20/10/2018 15:00],19.75,19.77,19.79,20.80,19.83
[20/10/2018 16:00],19.75,19.77,19.79,20.80,19.83
[20/10/2018 17:00],19.75,19.77,19.79,20.80,19.84
[20/10/2018 18:00],19.75,19.77,19.79,20.79,19.84
[20/10/2018 19:00],19.75,19.77,19.79,20.79,19.84
[20/10/2018 20:00],19.75,19.77,19.79,20.79,19.84
[20/10/2018 21:00],19.75,19.77,19.79,20.78,19.84
[20/10/2018 22:00],19.75,19.77,19.79,20.78,19.84
[20/10/2018 23:00],19.75,19.77,19.79,20.78,19.84
[21/10/2018 00:00],19.75,19.77,19.79,20.77,19.84
[21/10/2018 01:00],19.75,19.77,19.79,20.77,19.85
[21/10/2018 02:00],19.75,19.77,19.79,20.77,19.85
[21/10/2018 03:00],19.75,19.77,19.79,20.76,19.85
[21/10/2018 04:00],19.75,19.77,19.79,20.76,19.85
[21/10/2018 05:00],19.75,19.77,19.79,20.76,19.85
[21/10/2018 06:00],19.75,19.77,19.79,20.75,19.85
[21/10/2018 07:00],19.75,19.77,19.79,20.75,19.85
[21/10/2018 08:00],19.75,19.77,19.79,20.75,19.85
[21/10/2018 09:00],19.75,19.77,19.79,20.74,19.85
[21/10/2018 10:00],19.75,19.77,19.79,20.74,19.86
[21/10/2018 11:00],19.75,19.77,19.79,20.74,19.86
[21/10/2018 12:00],19.75,19.77,19.79,20.73,19.86
[21/10/2018 13:00],19.75,19.77,19.79,20.73,19.86
[21/10/2018 14:00],19.75,19.77,19.79,20.73,19.86
[21/10/2018 15:00],19.75,19.77,19.79,20.73,19.86
[21/10/2018 16:00],19.75,19.77,19.79,20.72,19.86
[21/10/2018 17:00],19.75,19.77,19.79,20.72,19.86
[21/10/2018 18:00],19.75,19.77,19.79,20.72,19.86
[21/10/2018 19:00],19.75,19.77,19.79,20.71,19.87
[21/10/2018 20:00],19.75,19.77,19.79,20.71,19.87
[21/10/2018 21:00],19.75,19.77,19.79,20.71,19.87
[21/10/2018 22:00],19.75,19.77,19.79,20.70,19.87
[21/10/2018 23:00],18.99,19.00,19.01,20.70,19.87
[22/10/2018 00:00],18.99,19.00,19.01,20.69,19.87
[22/10/2018 01:00],18.99,19.00,19.01,20.69,19.87
[22/10/2018 02:00],18.99,19.00,19.01,20.69,19.87
[22/10/2018 03:00],18.99,19.00,19.01,20.68,19.87
[22/10/2018 04:00],18.99,19.00,19.01,20.68,19.87
[22/10/2018 05:00],18.99,19.00,19.01,20.67,19.88
[22/10/2018 06:00],18.99,19.00,19.01,20.67,19.88
[22/10/2018 07:00],18.99,19.00,19.01,20.66,19.88
[22/10/2018 08:00],18.99,19.00,19.01,20.66,19.88
[22/10/2018 09:00],18.99,19.00,19.01,20.65,19.88
[22/10/2018 10:00],18.99,19.00,19.01,20.65,19.88
[22/10/2018 11:00],18.99,19.00,19.01,20.65,19.88
[22/10/2018 12:00],18.99,19.00,19.01,20.64,19.88
[22/10/2018 13:00],18.99,19.00,19.01,20.64,19.88
[22/10/2018 14:00],18.99,19.00,19.01,20.63,19.88
[22/10/2018 15:00],18.99,19.00,19.01,20.63,19.88
[22/10/2018 16:00],18.99,19.00,19.01,20.62,19.89
[22/10/2018 17:00],18.99,19.00,19.01,20.62,19.89
[22/10/2018 18:00],18.99,19.00,19.01,20.62,19.89
[22/10/2018 19:00],18.99,19.00,19.01,20.61,19.89
[22/10/2018 20:00],18.99,19.00,19.01,20.61,19.89
[22/10/2018 21:00],18.99,19.00,19.01,20.60,19.89
[22/10/2018 22:00],18.99,19.00,19.01,20.60,19.89
[22/10/2018 23:00],19.22,19.23,19.24,20.59,19.89
[23/10/2018 00:00],19.22,19.23,19.24,20.59,19.89
[23/10/2018 01:00],19.22,19.23,19.24,20.59,19.89
[23/10/2018 02:00],19.22,19.23,19.24,20.58,19.89
[23/10/2018 03:00],19.22,19.23,19.24,20.58,19.90
[23/10/2018 04:00],19.22,19.23,19.24,20.57,19.90
[23/10/2018 05:00],19.22,19.23,19.24,20.57,19.90
[23/10/2018 06:00],19.22,19.23,19.24,20.57,19.90
[23/10/2018 07:00],19.22,19.23,19.24,20.56,19.90
[23/10/2018 08:00],19.22,19.23,19.24,20.56,19.90
[23/10/2018 09:00],19.22,19.23,19.24,20.55,19.90
[23/10/2018 10:00],19.22,19.23,19.24,20.55,19.90
[23/10/2018 11:00],19.22,19.23,19.24,20.55,19.90
[23/10/2018 12:00],19.22,19.23,19.24,20.54,19.90
[23/10/2018 13:00],19.22,19.23,19.24,20.54,19.90
[23/10/2018 14:00],19.22,19.23,19.24,20.53,19.90
[23/10/2018 15:00],19.22,19.23,19.24,20.53,19.91
[23/10/2018 16:00],19.22,19.23,19.24,20.53,19.91
[23/10/2018 17:00],19.22,19.23,19.24,20.52,19.91
[23/10/2018 18:00],19.22,19.23,19.24,20.52,19.91
[23/10/2018 19:00],19.22,19.23,19.24,20.51,19.91
[23/10/2018 20:00],19.22,19.23,19.24,20.51,19.91
[23/10/2018 21:00],19.22,19.23,19.24,20.51,19.91
[23/10/2018 22:00],19.22,19.23,19.24,20.50,19.91
[23/10/2018 23:00],19.60,19.61,19.62,20.50,19.91
[24/10/2018 00:00],19.60,19.61,19.62,20.49,19.91
[24/10/2018 01:00],19.60,19.61,19.62,20.49,19.92
[24/10/2018 02:00],19.60,19.61,19.62,20.49,19.92
[24/10/2018 03:00],19.60,19.61,19.62,20.48,19.92
[24/10/2018 04:00],19.60,19.61,19.62,20.48,19.92
[24/10/2018 05:00],19.60,19.61,19.62,20.48,19.92
[24/10/2018 06:00],19.60,19.61,19.62,20.47,19.92
[24/10/2018 07:00],19.60,19.61,19.62,20.47,19.92
[24/10/2018 08:00],19.60,19.61,19.62,20.47,19.92
[24/10/2018 09:00],19.60,19.61,19.62,20.46,19.92
[24/10/2018 10:00],19.60,19.61,19.62,20.46,19.93
[24/10/2018 11:00],19.60,19.61,19.62,20.46,19.93
[24/10/2018 12:00],19.60,19.61,19.62,20.45,19.93
[24/10/2018 13:00],19.60,19.61,19.62,20.45,19.93
[24/10/2018 14:00],19.60,19.61,19.62,20.44,19.93
[24/10/2018 15:00],19.60,19.61,19.62,20.44,19.93
[24/10/2018 16:00],19.60,19.61,19.62,20.44,19.93
[24/10/2018 17:00],19.60,19.61,19.62,20.43,19.93
[24/10/2018 18:00],19.60,19.61,19.62,20.43,19.93
[24/10/2018 19:00],19.60,19.61,19.62,20.43,19.93
[24/10/2018 20:00],19.60,19.61,19.62,20.42,19.94
[24/10/2018 21:00],19.60,19.61,19.62,20.42,19.94
[24/10/2018 22:00],19.60,19.61,19.62,20.42,19.94
[24/10/2018 23:00],19.05,19.07,19.08,20.41,19.94
[25/10/2018 00:00],19.05,19.07,19.08,20.41,19.94
[25/10/2018 01:00],19.05,19.07,19.08,20.41,19.94
[25/10/2018 02:00],19.05,19.07,19.08,20.40,19.94
[25/10/2018 03:00],19.05,19.07,19.08,20.40,19.94
[25/10/2018 04:00],19.05,19.07,19.08,20.40,19.94
[25/10/2018 05:00],19.05,19.07,19.08,20.40,19.94
[25/10/2018 06:00],19.05,19.07,19.08,20.39,19.95
[25/10/2018 07:00],19.05,19.07,19.08,20.39,19.95
[25/10/2018 08:00],19.05,19.07,19.08,20.39,19.95
[25/10/2018 09:00],19.05,19.07,19.08,20.38,19.95
[25/10/2018 10:00],19.05,19.07,19.08,20.38,19.95
[25/10/2018 11:00],19.05,19.07,19.08,20.38,19.95
[25/10/2018 12:00],19.05,19.07,19.08,20.38,19.95
[25/10/2018 13:00],19.05,19.07,19.08,20.37,19.95
[25/10/2018 14:00],19.05,19.07,19.08,20.37,19.95
[25/10/2018 15:00],19.05,19.07,19.08,20.37,19.95
[25/10/2018 16:00],19.05,19.07,19.08,20.36,19.95
[25/10/2018 17:00],19.05,19.07,19.08,20.36,19.96
[25/10/2018 18:00],19.05,19.07,19.08,20.36,19.96
[25/10/2018 19:00],19.05,19.07,19.08,20.35,19.96
[25/10/2018 20:00],19.05,19.07,19.08,20.35,19.96
[25/10/2018 21:00],19.05,19.07,19.08,20.35,19.96
[25/10/2018 22:00],19.05,19.07,19.08,20.35,19.96
[25/10/2018 23:00],18.27,18.28,18.29,20.34,19.96
[26/10/2018 00:00],18.27,18.28,18.29,20.34,19.96
[26/10/2018 01:00],18.27,18.28,18.29,20.34,19.96
[26/10/2018 02:00],18.27,18.28,18.29,20.34,19.96
[26/10/2018 03:00],18.27,18.28,18.29,20.33,19.96
[26/10/2018 04:00],18.27,18.28,18.29,20.33,19.96
[26/10/2018 05:00],18.27,18.28,18.29,20.33,19.96
[26/10/2018 06:00],18.27,18.28,18.29,20.32,19.96
[26/10/2018 07:00],18.27,18.28,18.29,20.32,19.97
[26/10/2018 08:00],18.27,18.28,18.29,20.32,19.97
[26/10/2018 09:00],18.27,18.28,18.29,20.32,19.97
[26/10/2018 10:00],18.27,18.28,18.29,20.31,19.97
[26/10/2018 11:00],18.27,18.28,18.29,20.31,19.97
[26/10/2018 12:00],18.27,18.28,18.29,20.31,19.97
[26/10/2018 13:00],18.27,18.28,18.29,20.31,19.97
[26/10/2018 14:00],18.27,18.28,18.29,20.30,19.97
[26/10/2018 15:00],18.27,18.28,18.29,20.30,19.97
[26/10/2018 16:00],18.27,18.28,18.29,20.30,19.97
