,PRIMARY,SECONDARY,HIGH,HIGH W BALANCING,PRIMARY SECONDARY W BALANCING
,*/MWh,*/MWh,*/MWh,*/MWh,*/MWh
[Jan-13],,,,,
[Feb-13],,,,,
[Mar-13],,,,,
[Apr-13],1.49,0.26,3.39,8.79,5.18
[May-13],0.99,0.20,2.82,7.27,4.50
[Jun-13],1.05,0.18,2.65,7.19,4.41
[Jul-13],1.29,0.25,3.40,9.19,5.05
[Aug-13],1.41,0.34,3.32,9.44,5.45
[Sep-13],1.38,0.36,3.55,10.28,5.88
[Oct-13],1.84,0.46,4.37,10.53,5.90
[Nov-13],1.38,0.26,3.49,9.26,5.31
[Dec-13],1.15,0.25,3.04,7.56,4.03
[Jan-14],0.82,0.20,2.28,6.65,3.48
[Feb-14],0.76,0.17,3.15,5.41,3.61
[Mar-14],1.11,0.22,2.75,6.50,4.04
[Apr-14],1.31,0.30,2.93,8.96,5.38
[May-14],1.14,0.25,2.32,9.83,5.60
[Jun-14],0.95,0.26,1.77,10.14,5.33
[Jul-14],1.02,0.31,2.26,9.92,5.38
[Aug-14],1.36,0.42,2.83,9.37,5.22
[Sep-14],0.95,0.35,2.12,7.75,4.64
[Oct-14],0.82,0.27,2.54,10.54,6.63
[Nov-14],0.90,0.30,2.87,10.73,6.71
[Dec-14],0.63,0.23,1.83,12.18,7.00
[Jan-15],0.69,0.28,2.14,11.68,6.55
[Feb-15],0.62,0.25,1.82,9.92,6.21
[Mar-15],0.68,0.27,1.71,10.94,6.14
[Apr-15],0.97,0.41,2.06,11.35,6.06
[May-15],0.83,0.29,1.96,16.39,9.03
[Jun-15],0.81,0.28,1.80,14.00,7.63
[Jul-15],0.60,0.23,1.52,10.85,6.32
[Aug-15],0.70,0.26,1.53,9.46,5.37
[Sep-15],0.48,0.18,1.02,7.79,4.70
[Oct-15],0.41,0.19,1.24,7.33,4.72
[Nov-15],0.35,0.15,1.34,8.01,5.23
[Dec-15],0.45,0.18,1.47,10.00,6.46
[Jan-16],0.39,0.17,1.31,7.18,5.08
[Feb-16],0.27,0.14,1.07,6.48,3.86
[Mar-16],0.25,0.13,1.09,5.48,3.33
[Apr-16],0.43,0.12,0.40,3.34,4.70
[May-16],0.37,0.19,1.18,6.95,4.09
[Jun-16],0.37,0.20,1.19,6.22,3.84
[Jul-16],0.57,0.28,1.46,8.42,5.25
[Aug-16],0.49,0.24,1.11,8.39,5.05
[Sep-16],0.64,0.31,1.34,9.21,5.11
[Oct-16],0.60,0.31,1.80,6.79,4.47
[Nov-16],0.54,0.29,1.65,7.57,4.75
[Dec-16],0.53,0.28,1.70,7.00,4.12
[Jan-17],0.46,0.24,1.41,6.53,4.06
[Feb-17],0.39,0.20,1.27,7.18,4.14
[Mar-17],0.52,0.27,1.42,6.76,4.01
[Apr-17],0.61,0.32,1.46,7.52,4.43
[May-17],0.46,0.24,1.22,8.01,4.67
[Jun-17],0.46,0.21,1.06,9.54,5.76
[Jul-17],0.43,0.20,1.08,8.57,5.26
[Aug-17],0.47,0.24,1.11,9.96,6.15
[Sep-17],0.43,0.21,0.90,7.95,4.75
[Oct-17],0.35,0.17,1.27,7.59,4.99
[Nov-17],0.40,0.20,1.59,5.84,4.01
[Dec-17],0.34,0.15,1.09,6.69,4.76
[Jan-18],0.19,0.09,0.48,6.69,4.09
[Feb-18],0.18,0.09,0.52,6.27,3.95
[Mar-18],0.30,0.15,0.80,7.55,5.30
[Apr-18],0.21,0.11,0.68,6.23,4.01
[May-18],0.30,0.15,0.82,6.99,4.26
[Jun-18],0.21,0.09,0.52,7.34,4.38
[Jul-18],0.30,0.14,0.88,7.48,4.58
[Aug-18],0.24,0.12,0.98,7.61,5.62
[Sep-18],0.25,0.11,0.98,9.24,5.49
[Oct-18],0.24,0.11,1.02,7.29,4.88
[Nov-18],0.29,0.13,1.15,9.62,5.95
[Dec-18],0.38,0.16,1.20,8.34,5.51
[Jan-19],0.27,0.13,1.06,5.65,3.98
[Feb-19],0.25,0.11,1.02,5.18,3.23
[Mar-19],0.37,0.18,1.22,7.60,4.40
[Apr-19],0.44,0.22,1.11,7.04,4.30
[May-19],0.50,0.26,1.23,8.71,5.24
[Jun-19],0.45,0.22,1.16,8.47,5.22
[Jul-19],0.49,0.25,1.31,7.64,4.88
[Aug-19],0.62,0.31,1.70,10.41,5.71
[Sep-19],0.57,0.28,1.33,10.99,6.28
[Oct-19],0.63,0.33,1.52,10.36,5.61
[Nov-19],0.53,0.27,1.09,11.47,6.99
[Dec-19],0.51,0.28,1.10,11.14,6.21
[Jan-20],0.44,0.24,1.04,8.98,5.16
[Feb-20],0.44,0.24,1.01,7.90,4.19
[Mar-20],0.40,0.21,0.85,7.76,4.16
[Apr-20],0.39,0.21,0.72,9.45,5.17
[May-20],0.24,0.12,0.57,8.24,4.29
[Jun-20],0.15,0.08,0.51,7.65,4.00
[Jul-20],0.20,0.10,0.63,8.40,4.96
[Aug-20],0.12,0.06,0.37,9.94,6.01
[Sep-20],0.24,0.13,0.69,11.27,7.16
[Oct-20],0.35,0.17,0.76,11.11,6.27
[Nov-20],0.36,0.18,0.67,10.83,6.78
[Dec-20],0.42,0.20,0.89,10.71,6.00
[Jan-21],0.43,0.22,1.01,19.63,21.87
[Feb-21],0.51,0.27,1.07,11.36,8.42
[Mar-21],0.61,0.30,1.32,12.98,8.48
[Apr-21],0.85,0.43,1.68,11.63,7.85
[May-21],0.86,0.43,1.63,14.39,8.63
[Jun-21],1.05,0.55,1.78,19.28,12.17
[Jul-21],0.93,0.54,1.72,13.82,8.59
[Aug-21],0.99,0.53,1.89,20.04,12.40
