Date (WET),CCGT (40%),CCGT (45%),CCGT (50%),CCGT (55%),COAL (30%),COAL (35%),COAL (40%)
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[18/10/2018 07:00],75.66,67.25,60.53,55.02,66.14,56.69,49.61
[18/10/2018 08:00],75.66,67.25,60.53,55.02,66.14,56.69,49.61
[18/10/2018 09:00],75.66,67.25,60.53,55.02,66.14,56.69,49.61
[18/10/2018 10:00],75.66,67.25,60.53,55.02,66.14,56.69,49.61
[18/10/2018 11:00],75.66,67.25,60.53,55.02,66.14,56.69,49.61
[18/10/2018 12:00],75.66,67.25,60.53,55.02,66.14,56.69,49.61
[18/10/2018 13:00],75.66,67.25,60.53,55.02,66.14,56.69,49.61
[18/10/2018 14:00],75.66,67.25,60.53,55.02,66.14,56.69,49.61
[18/10/2018 15:00],75.66,67.25,60.53,55.02,66.14,56.69,49.61
[18/10/2018 16:00],75.66,67.25,60.53,55.02,66.14,56.69,49.61
[18/10/2018 17:00],75.66,67.25,60.53,55.02,66.14,56.69,49.61
[18/10/2018 18:00],75.66,67.25,60.53,55.02,66.14,56.69,49.61
[18/10/2018 19:00],75.66,67.25,60.53,55.02,66.14,56.69,49.61
[18/10/2018 20:00],75.66,67.25,60.53,55.02,66.14,56.69,49.61
[18/10/2018 21:00],75.66,67.25,60.53,55.02,66.14,56.69,49.61
[18/10/2018 22:00],75.66,67.25,60.53,55.02,66.14,56.69,49.61
[18/10/2018 23:00],75.72,67.31,60.58,55.07,66.28,56.82,49.71
[19/10/2018 00:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 01:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 02:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 03:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 04:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 05:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 06:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 07:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 08:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 09:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 10:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 11:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 12:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 13:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 14:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 15:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 16:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 17:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 18:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 19:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 20:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 21:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 22:00],77.15,68.58,61.72,56.11,66.38,56.90,49.79
[19/10/2018 23:00],77.23,68.65,61.78,56.16,66.55,57.04,49.91
[20/10/2018 00:00],77.23,68.65,61.78,56.16,66.55,57.04,49.91
[20/10/2018 01:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 02:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 03:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 04:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 05:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 06:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 07:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 08:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 09:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 10:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 11:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 12:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 13:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 14:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 15:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 16:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 17:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 18:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 19:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 20:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 21:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 22:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[20/10/2018 23:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
[21/10/2018 00:00],73.98,65.76,59.19,53.81,66.55,57.04,49.91
