Date (WET),CCGT (40%),CCGT (45%),CCGT (50%),CCGT (55%),COAL (30%),COAL (35%),COAL (40%)
,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[18/10/2018 07:00],57.37,50.99,45.89,41.72,25.03,21.45,18.77
[18/10/2018 08:00],57.37,50.99,45.89,41.72,25.03,21.45,18.77
[18/10/2018 09:00],57.37,50.99,45.89,41.72,25.03,21.45,18.77
[18/10/2018 10:00],57.37,50.99,45.89,41.72,25.03,21.45,18.77
[18/10/2018 11:00],57.37,50.99,45.89,41.72,25.03,21.45,18.77
[18/10/2018 12:00],57.37,50.99,45.89,41.72,25.03,21.45,18.77
[18/10/2018 13:00],57.37,50.99,45.89,41.72,25.03,21.45,18.77
[18/10/2018 14:00],57.37,50.99,45.89,41.72,25.03,21.45,18.77
[18/10/2018 15:00],57.37,50.99,45.89,41.72,25.03,21.45,18.77
[18/10/2018 16:00],57.37,50.99,45.89,41.72,25.03,21.45,18.77
[18/10/2018 17:00],57.37,50.99,45.89,41.72,25.03,21.45,18.77
[18/10/2018 18:00],57.37,50.99,45.89,41.72,25.03,21.45,18.77
[18/10/2018 19:00],57.37,50.99,45.89,41.72,25.03,21.45,18.77
[18/10/2018 20:00],57.37,50.99,45.89,41.72,25.03,21.45,18.77
[18/10/2018 21:00],57.37,50.99,45.89,41.72,25.03,21.45,18.77
[18/10/2018 22:00],57.37,50.99,45.89,41.72,25.03,21.45,18.77
[18/10/2018 23:00],57.37,50.99,45.89,41.72,25.03,21.45,18.77
[19/10/2018 00:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 01:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 02:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 03:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 04:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 05:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 06:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 07:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 08:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 09:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 10:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 11:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 12:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 13:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 14:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 15:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 16:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 17:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 18:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 19:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 20:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 21:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 22:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[19/10/2018 23:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[20/10/2018 00:00],58.77,52.24,47.02,42.74,25.03,21.45,18.77
[20/10/2018 01:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 02:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 03:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 04:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 05:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 06:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 07:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 08:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 09:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 10:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 11:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 12:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 13:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 14:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 15:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 16:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 17:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 18:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 19:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 20:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 21:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 22:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[20/10/2018 23:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 00:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 01:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 02:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 03:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 04:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 05:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 06:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 07:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 08:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 09:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 10:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 11:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 12:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 13:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 14:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 15:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 16:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 17:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 18:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 19:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 20:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 21:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 22:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[21/10/2018 23:00],55.53,49.36,44.43,40.39,25.03,21.45,18.77
[22/10/2018 00:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 01:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 02:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 03:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 04:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 05:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 06:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 07:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 08:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 09:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 10:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 11:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 12:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 13:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 14:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 15:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 16:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 17:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 18:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 19:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 20:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 21:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 22:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[22/10/2018 23:00],54.08,48.07,43.27,39.33,25.03,21.45,18.77
[23/10/2018 00:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 01:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 02:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 03:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 04:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 05:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 06:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 07:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 08:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 09:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 10:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 11:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 12:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 13:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 14:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 15:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 16:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 17:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 18:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 19:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 20:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 21:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 22:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[23/10/2018 23:00],51.69,45.95,41.35,37.60,25.03,21.45,18.77
[24/10/2018 00:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 01:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 02:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 03:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 04:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 05:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 06:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 07:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 08:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 09:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 10:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 11:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 12:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 13:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 14:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 15:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 16:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 17:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 18:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 19:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 20:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 21:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 22:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[24/10/2018 23:00],55.28,49.13,44.22,40.20,25.03,21.45,18.77
[25/10/2018 00:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 01:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 02:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 03:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 04:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 05:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 06:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 07:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 08:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 09:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 10:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 11:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 12:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 13:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 14:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 15:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 16:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 17:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 18:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 19:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 20:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 21:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 22:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[25/10/2018 23:00],54.34,48.30,43.47,39.52,25.35,21.73,19.01
[26/10/2018 00:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 01:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 02:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 03:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 04:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 05:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 06:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 07:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 08:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 09:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 10:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 11:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 12:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 13:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 14:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 15:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 16:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 17:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 18:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 19:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 20:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 21:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 22:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[26/10/2018 23:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[27/10/2018 00:00],53.06,47.16,42.45,38.59,25.35,21.73,19.01
[27/10/2018 01:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 02:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 03:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 04:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 05:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 06:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 07:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 08:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 09:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 10:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 11:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 12:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 13:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 14:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 15:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 16:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 17:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 18:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 19:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 20:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 21:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 22:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[27/10/2018 23:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 00:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 01:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 01:00],,,,,,,
[28/10/2018 02:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 03:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 04:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 05:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 06:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 07:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 08:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 09:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 10:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 11:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 12:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 13:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 14:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 15:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 16:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 17:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 18:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 19:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 20:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 21:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 22:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[28/10/2018 23:00],55.23,49.10,44.19,40.17,25.35,21.73,19.01
[29/10/2018 00:00],55.53,49.36,44.43,40.39,25.35,21.73,19.01
[29/10/2018 01:00],55.53,49.36,44.43,40.39,25.35,21.73,19.01
[29/10/2018 02:00],55.53,49.36,44.43,40.39,25.35,21.73,19.01
[29/10/2018 03:00],55.53,49.36,44.43,40.39,25.35,21.73,19.01
[29/10/2018 04:00],55.53,49.36,44.43,40.39,25.35,21.73,19.01
[29/10/2018 05:00],55.53,49.36,44.43,40.39,25.35,21.73,19.01
[29/10/2018 06:00],55.53,49.36,44.43,40.39,25.35,21.73,19.01
[29/10/2018 07:00],55.53,49.36,44.43,40.39,25.35,21.73,19.01
