Date (WET),Installed Capacity,Committed - Max Volume,Day Ahead - Max Accepted Volume,Day Ahead - Max Utilisation Volume,Committed - Average Volume,Day Ahead - Average Accepted Volume,Availability Forecast,Availability,Accepted Offer Volume,Pre-Balancing Dispatch (FPN),Expected Metered Dispatch,Committed - Availability Fee,Day Ahead - Accepted Availability Fee,Committed - Utilisation Fee,Day Ahead - Utilisation Fee,Accepted Offer Price,Accepted Bid Price
,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,MW,GBP/MW/h,GBP/MW/h,GBP/MWh,GBP/MWh,GBP/MWh,GBP/MWh
[18/10/2018 05:00],,0.0,,,0.0,,,,,,,,,,,,
[18/10/2018 05:30],,0.0,,,0.0,,,,,,,,,,,,
[18/10/2018 06:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 06:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 07:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 07:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 08:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 08:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 09:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 09:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 10:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 10:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 11:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 11:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 12:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 12:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 13:00],,0.0,,,0.0,,,,,,,,,,,,
[18/10/2018 13:30],,0.0,,,0.0,,,,,,,,,,,,
[18/10/2018 14:00],,0.0,,,0.0,,,,,,,,,,,,
[18/10/2018 14:30],,0.0,,,0.0,,,,,,,,,,,,
[18/10/2018 15:00],,0.0,,,0.0,,,,,,,,,,,,
[18/10/2018 15:30],,0.0,,,0.0,,,,,,,,,,,,
[18/10/2018 16:00],,0.0,,,0.0,,,,,,,,,,,,
[18/10/2018 16:30],,0.0,,,0.0,,,,,,,,,,,,
[18/10/2018 17:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 17:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 18:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 18:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 19:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 19:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 20:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[18/10/2018 20:30],,0.0,,,0.0,,,,,,,,,,,,
[18/10/2018 21:00],,0.0,,,0.0,,,,,,,,,,,,
[18/10/2018 21:30],,0.0,,,0.0,,,,,,,,,,,,
[18/10/2018 22:00],,0.0,,,0.0,,,,,,,,,,,,
[18/10/2018 22:30],,0.0,,,0.0,,,,,,,,,,,,
[18/10/2018 23:00],,0.0,,,0.0,,,,,,,,,,,,
[18/10/2018 23:30],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 00:00],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 00:30],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 01:00],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 01:30],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 02:00],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 02:30],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 03:00],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 03:30],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 04:00],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 04:30],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 05:00],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 05:30],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 06:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 06:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 07:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 07:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 08:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 08:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 09:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 09:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 10:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 10:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 11:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 11:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 12:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 12:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 13:00],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 13:30],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 14:00],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 14:30],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 15:00],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 15:30],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 16:00],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 16:30],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 17:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 17:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 18:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 18:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 19:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 19:30],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 20:00],,1405.0,,,1405.0,,,,,,,4.61,,185.31,,,
[19/10/2018 20:30],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 21:00],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 21:30],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 22:00],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 22:30],,0.0,,,0.0,,,,,,,,,,,,
[19/10/2018 23:00],,0.0,,,0.0,,,,,,,,,,,,
