,BIOMASS,COAL,GAS,HYDRO,NUCLEAR,OIL,SOLAR,WIND
,MW,MW,MW,MW,MW,MW,MW,MW
[1920],0,679,0,0,0,0,0,0
[1921],0,616,0,0,0,0,0,0
[1922],0,723,0,0,0,0,0,0
[1923],0,842,0,0,0,0,0,0
[1924],0,962,0,0,0,0,0,0
[1925],0,1057,0,0,0,0,0,0
[1926],0,1116,0,0,0,0,0,0
[1927],0,1353,0,1,0,0,0,0
[1928],0,1481,0,4,0,0,0,0
[1929],0,1649,0,4,0,0,0,0
[1930],0,1694,0,10,0,0,0,0
[1931],0,1762,0,14,0,0,0,0
[1932],0,1907,0,12,0,0,0,0
[1933],0,2124,0,11,0,0,0,0
[1934],0,2410,0,15,0,0,0,0
[1935],0,2727,0,20,0,0,0,0
[1936],0,3160,0,22,0,0,0,0
[1937],0,3575,0,25,0,0,0,0
[1938],0,3777,0,32,0,0,0,0
[1939],0,4109,0,32,0,0,0,0
[1940],0,4516,0,26,0,0,0,0
[1941],0,5090,0,27,0,0,0,0
[1942],0,5576,0,36,0,0,0,0
[1943],0,5745,0,43,0,0,0,0
[1944],0,5990,0,38,0,0,0,0
[1945],0,5815,0,37,0,0,0,0
[1946],0,6463,0,37,0,0,0,0
[1947],0,6678,0,37,0,0,0,0
[1948],0,7272,0,29,0,0,0,0
[1949],0,7651,0,24,0,0,0,0
[1950],0,8157,0,34,0,0,0,0
[1951],0,8726,0,37,0,0,0,0
[1952],0,8853,0,41,0,0,0,0
[1953],0,9169,0,42,0,0,0,0
[1954],0,9928,0,57,0,0,0,0
[1955],0,10687,0,37,0,0,0,0
[1956],0,11446,0,54,9,0,0,0
[1957],0,11509,0,68,65,443,0,0
[1958],0,11509,0,69,48,1201,0,0
[1959],0,11572,0,71,190,1897,0,0
[1960],0,13153,0,83,443,2403,0,0
[1961],0,14354,0,104,379,2466,0,0
[1962],0,15809,0,106,506,2529,0,0
[1963],0,17390,0,100,822,2276,0,0
[1964],0,17769,0,111,1075,2466,0,0
[1965],0,17326,0,128,1897,2909,0,0
[1966],0,17390,0,126,2529,3351,0,0
[1967],0,17263,0,253,2782,3415,0,0
[1968],0,18718,0,253,3288,2972,0,0
[1969],0,19350,0,253,3478,3731,0,0
[1970],0,18591,0,253,3099,5565,0,0
[1971],0,18680,271,361,3158,6768,0,0
[1972],0,16604,812,451,3339,8934,0,0
[1973],0,20034,451,451,3158,8122,0,0
[1974],0,17056,1083,451,3880,8663,0,0
[1975],0,19402,993,451,3429,6678,0,0
[1976],0,20575,812,361,4332,5505,0,0
[1977],0,20846,632,451,4602,5775,0,0
[1978],0,21568,541,361,4151,6227,0,0
[1979],0,23192,451,541,4332,5685,0,0
[1980],0,23733,271,451,4061,3971,0,0
[1981],0,23643,180,451,4422,3068,0,0
[1982],0,22290,180,541,5054,3068,0,0
[1983],0,22290,180,541,5685,2797,0,0
[1984],0,14709,361,541,6046,10468,0,0
[1985],0,20395,271,541,6949,5595,0,0
[1986],0,23282,180,541,6678,3610,0,0
[1987],0,24275,541,541,6317,2888,0,0
[1988],0,23463,541,541,6497,3249,0,0
[1989],0,23102,541,541,8212,3339,0,0
[1990],0,23643,632,722,7400,3971,0,0
[1991],0,24185,722,632,7941,3249,0,0
[1992],0,22199,1534,632,8663,3339,0,0
[1993],90,19492,4061,541,10197,2437,0,0
[1994],271,18409,6136,722,10017,1715,0,0
[1995],271,17778,7400,632,10107,1895,0,0
[1996],271,16785,9566,361,10829,2076,0,0
[1997],361,13987,12634,451,11190,1263,0,90
[1998],271,14348,13626,541,11280,1083,0,90
[1999],541,12363,16334,722,10739,1083,0,90
[2000],541,14168,16965,722,9656,722,0,90
[2001],722,15161,16243,451,10378,632,0,90
[2002],902,14348,17326,451,10107,632,0,180
[2003],993,15973,17056,361,10107,541,0,180
[2004],1083,15251,17958,541,9114,541,0,271
[2005],1444,15702,17417,541,9295,541,0,271
[2006],1354,17236,16063,541,8573,722,0,541
[2007],1263,15792,18951,632,7129,541,0,632
[2008],1354,14348,20034,812,5866,902,0,812
[2009],1354,11912,18951,632,7851,812,0,1083
[2010],1400,12282,20052,410,7094,549,2,1157
[2011],1520,12379,16724,650,7874,356,24,1791
[2012],1682,16300,11435,606,8037,330,136,2199
[2013],2066,14762,10596,537,8060,250,37,3082
[2014],2510,11263,11480,670,7100,221,196,3596
[2015],3338,8662,11401,719,8030,233,478,4371
[2016],3430,3506,16366,616,8188,210,437,3507
[2017],3616,2618,15837,592,8279,287,437,3869
